parl_id,Party,State,Office,House,Cabinet,Level,Start,Finish,Ministry_ID,Ministry_Name
"""259775""",Protectionist,QLD,Minister for Defence,Never elected,Pre-56,Inner,1901-01-01,1901-01-10,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""259776""",Protectionist,TAS,Minister (without portfolio),Never elected,Pre-56,Inner,1901-01-01,1901-04-23,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KFJ""",Protectionist,WA,Postmaster-General,HR,Pre-56,Inner,1901-01-01,1901-01-17,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KFJ""",Protectionist,WA,Minister for Home Affairs,HR,Pre-56,Inner,1903-08-11,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KFJ""",Protectionist,WA,Minister for Defence,HR,Pre-56,Inner,1901-01-17,1903-08-10,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KIN""",Protectionist,NSW,Minister for Trade and Customs,HR,Pre-56,Inner,1903-08-11,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KIN""",Protectionist,NSW,Minister for Home Affairs,HR,Pre-56,Inner,1901-01-01,1903-08-11,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""009MD""",Protectionist,VIC,Attorney-General,HR,Pre-56,Inner,1901-01-01,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""JZT""",Free Trade,TAS,Postmaster-General,HR,Pre-56,Inner,1903-08-10,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""JZT""",Free Trade,TAS,Minister (without portfolio),HR,Pre-56,Inner,1901-04-26,1903-08-10,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KEW""",Protectionist,SA,Minister for Trade and Customs,HR,Pre-56,Inner,1901-01-01,1903-07-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""JXO""",Protectionist,QLD,Minister for Defence,Senate,Pre-56,Inner,1903-08-10,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""JXO""",Protectionist,QLD,Postmaster-General,Senate,Pre-56,Inner,1901-02-05,1903-08-10,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""KWT""",Protectionist,VIC,Treasurer,HR,Pre-56,Inner,1901-01-01,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""009LR""",Protectionist,NSW,Minister for External Affairs,HR,Pre-56,Inner,1901-01-01,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""009LR""",Protectionist,NSW,Prime Minister,HR,Pre-56,Inner,1901-01-01,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""JYD""",Protectionist,NSW,Vice-President of the Executive Council,Senate,Pre-56,Inner,1901-01-01,1903-09-24,M0001,"01. Barton (Protectionist), 1 Jan 1901-24 Sept 1903"
"""JX7""",Protectionist,NSW,Minister for Defence,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""KFJ""",Protectionist,WA,Minister for Home Affairs,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""KIN""",Protectionist,NSW,Minister for Trade and Customs,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""009MD""",Protectionist,VIC,Minister for External Affairs,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""009MD""",Protectionist,VIC,Prime Minister,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""JZT""",Free Trade,TAS,Postmaster-General,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""JXO""",Protectionist,QLD,Attorney-General,Senate,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""K0X""",Protectionist,SA,Vice-President of the Executive Council,Senate,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""KWT""",Protectionist,VIC,Treasurer,HR,Pre-56,Inner,1903-09-24,1904-04-27,M0002,"02. Deakin (Protectionist), 24 Sept 1903-27 Apr 1904"
"""DQC""",ALP,NSW,Minister for External Affairs,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""KLB""",ALP,WA,Postmaster-General,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""F4N""",ALP,QLD,Minister for Trade and Customs,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""KTF""",ALP,SA,Vice-President of the Executive Council,Senate,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""JOC""",ALP,SA,Minister for Home Affairs,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""F4R""",ALP,NSW,Prime Minister,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""F4R""",ALP,NSW,Treasurer,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""JTV""",ALP,WA,Minister for Defence,Senate,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""KHC""",Protectionist,VIC,Attorney-General,HR,Pre-56,Inner,1904-04-27,1904-08-17,M0003,"03. Watson (ALP), 27 Apr 1904-17 Aug 1904"
"""K7V""",Free Trade,SA,Attorney-General,Senate,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""KW6""",Free Trade,NSW,Minister for Home Affairs,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""F4P""",Free Trade,NSW,Minister for External Affairs,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""F4P""",Free Trade,NSW,Prime Minister,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""JXO""",Protectionist,QLD,Vice-President of the Executive Council,Senate,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""KPM""",Protectionist,VIC,Minister for Defence,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""KRO""",Protectionist,VIC,Minister for Trade and Customs,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""L2I""",Free Trade,NSW,Postmaster-General,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""KWT""",Protectionist,VIC,Treasurer,HR,Pre-56,Inner,1904-08-18,1905-07-05,M0004,"04. Reid-McLean (Free Trade-Protectionist), 18 Aug 1904-5 July 1905"
"""K0X""",Protectionist,SA,Minister for Defence,Senate,Pre-56,Inner,1905-07-05,1907-01-24,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KFK""",Protectionist,QLD,Minister for Home Affairs,HR,Pre-56,Inner,1905-07-05,1906-10-12,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KFK""",Protectionist,QLD,Attorney-General,HR,Pre-56,Inner,1906-10-12,1908-11-13,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""JX7""",Protectionist,NSW,Minister for Trade and Customs,HR,Pre-56,Inner,1907-07-30,1908-11-13,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""JX7""",Protectionist,NSW,Postmaster-General,HR,Pre-56,Inner,1905-07-05,1907-07-30,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KPE""",Protectionist,TAS,Vice-President of the Executive Council,Senate,Pre-56,Inner,1906-10-12,1907-02-20,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KPE""",Protectionist,TAS,Minister (without portfolio),Senate,Pre-56,Inner,1905-07-05,1906-10-12,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KPE""",Protectionist,TAS,Minister for Home Affairs,Senate,Pre-56,Inner,1907-01-24,1908-11-13,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""JPC""",Protectionist,VIC,Vice-President of the Executive Council,Senate,Pre-56,Inner,1907-02-20,1908-11-13,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KFJ""",Protectionist,WA,Treasurer,HR,Pre-56,Inner,1905-07-05,1907-07-30,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KIN""",Protectionist,NSW,Treasurer,HR,Pre-56,Inner,1907-07-30,1908-11-13,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KIN""",Protectionist,NSW,Minister for Trade and Customs,HR,Pre-56,Inner,1905-07-05,1907-07-30,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""009MD""",Protectionist,VIC,Minister for External Affairs,HR,Pre-56,Inner,1905-07-05,1908-11-13,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""009MD""",Protectionist,VIC,Prime Minister,HR,Pre-56,Inner,1905-07-05,1908-11-13,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""K4I""",Protectionist,VIC,Minister (without portfolio),HR,Pre-56,Inner,1908-01-28,1908-11-13,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KNJ""",Protectionist,VIC,Minister (without portfolio),HR,Pre-56,Inner,1906-10-12,1907-07-30,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KNJ""",Protectionist,VIC,Postmaster-General,HR,Pre-56,Inner,1907-07-30,1908-11-13,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KDR""",Protectionist,NSW,Minister for Home Affairs,HR,Pre-56,Inner,1906-10-12,1907-01-24,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KDR""",Protectionist,NSW,Vice-President of the Executive Council,HR,Pre-56,Inner,1905-07-05,1906-10-12,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KDR""",Protectionist,NSW,Minister for Defence,HR,Pre-56,Inner,1907-01-24,1908-11-13,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""KJI""",Protectionist,VIC,Attorney-General,HR,Pre-56,Inner,1905-07-05,1906-10-12,M0005,"05. Deakin (Protectionist), 5 Jul 1905-13 Nov 1908"
"""DQC""",ALP,NSW,Attorney-General,HR,Pre-56,Inner,1908-11-13,1909-06-02,M0006,"06. Fisher (ALP), 13 Nov 1908-2 Jun 1909"
"""K0F""",ALP,WA,Minister for Defence,Senate,Pre-56,Inner,1908-11-13,1909-06-02,M0006,"06. Fisher (ALP), 13 Nov 1908-2 Jun 1909"
"""K8L""",ALP,NSW,Postmaster-General,HR,Pre-56,Inner,1908-11-13,1909-06-02,M0006,"06. Fisher (ALP), 13 Nov 1908-2 Jun 1909"
"""KWL""",ALP,VIC,Minister for Trade and Customs,HR,Pre-56,Inner,1908-11-13,1909-06-02,M0006,"06. Fisher (ALP), 13 Nov 1908-2 Jun 1909"
"""KLB""",ALP,WA,Minister for Home Affairs,HR,Pre-56,Inner,1908-11-13,1909-06-02,M0006,"06. Fisher (ALP), 13 Nov 1908-2 Jun 1909"
"""F4N""",ALP,QLD,Prime Minister,HR,Pre-56,Inner,1908-11-13,1909-06-02,M0006,"06. Fisher (ALP), 13 Nov 1908-2 Jun 1909"
"""F4N""",ALP,QLD,Treasurer,HR,Pre-56,Inner,1908-11-13,1909-06-02,M0006,"06. Fisher (ALP), 13 Nov 1908-2 Jun 1909"
"""KTF""",ALP,SA,Vice-President of the Executive Council,Senate,Pre-56,Inner,1908-11-13,1909-06-02,M0006,"06. Fisher (ALP), 13 Nov 1908-2 Jun 1909"
"""JOC""",ALP,SA,Minister for External Affairs,HR,Pre-56,Inner,1908-11-13,1909-06-02,M0006,"06. Fisher (ALP), 13 Nov 1908-2 Jun 1909"
"""KJ8""",ALP,SA,Minister (without portfolio),HR,Pre-56,Inner,1908-11-13,1909-06-02,M0006,"06. Fisher (ALP), 13 Nov 1908-2 Jun 1909"
"""JWJ""",Anti-Socialist,QLD,Minister (without portfolio),HR,Pre-56,Inner,1909-06-02,1910-04-29,M0007,"07. Deakin (Protectionist-Free Trade-Tariff Reform), 2 Jun 1909-29 Apr 1910"
"""KFK""",Protectionist,QLD,Minister for External Affairs,HR,Pre-56,Inner,1909-06-02,1910-04-29,M0007,"07. Deakin (Protectionist-Free Trade-Tariff Reform), 2 Jun 1909-29 Apr 1910"
"""KUL""",Free Trade,NSW,Vice-President of the Executive Council,Senate,Pre-56,Inner,1909-06-02,1910-04-29,M0007,"07. Deakin (Protectionist-Free Trade-Tariff Reform), 2 Jun 1909-29 Apr 1910"
"""JPC""",Protectionist,VIC,Minister for Trade and Customs,Senate,Pre-56,Inner,1909-06-02,1910-04-29,M0007,"07. Deakin (Protectionist-Free Trade-Tariff Reform), 2 Jun 1909-29 Apr 1910"
"""F4S""",Free Trade,NSW,Minister for Defence,HR,Pre-56,Inner,1909-06-02,1910-04-29,M0007,"07. Deakin (Protectionist-Free Trade-Tariff Reform), 2 Jun 1909-29 Apr 1910"
"""KCO""",Free Trade,SA,Attorney-General,HR,Pre-56,Inner,1909-06-02,1910-04-29,M0007,"07. Deakin (Protectionist-Free Trade-Tariff Reform), 2 Jun 1909-29 Apr 1910"
"""KFJ""",Protectionist,WA,Treasurer,HR,Pre-56,Inner,1909-06-02,1910-04-29,M0007,"07. Deakin (Protectionist-Free Trade-Tariff Reform), 2 Jun 1909-29 Apr 1910"
"""JZF""",Free Trade,NSW,Minister for Home Affairs,HR,Pre-56,Inner,1909-06-02,1910-04-29,M0007,"07. Deakin (Protectionist-Free Trade-Tariff Reform), 2 Jun 1909-29 Apr 1910"
"""KYJ""",Protectionist,VIC,Postmaster-General,HR,Pre-56,Inner,1909-06-02,1910-04-29,M0007,"07. Deakin (Protectionist-Free Trade-Tariff Reform), 2 Jun 1909-29 Apr 1910"
"""009MD""",Protectionist,VIC,Prime Minister,HR,Pre-56,Inner,1909-06-02,1910-04-29,M0007,"07. Deakin (Protectionist-Free Trade-Tariff Reform), 2 Jun 1909-29 Apr 1910"
"""DQC""",ALP,NSW,Attorney-General,HR,Pre-56,Inner,1910-04-29,1913-06-24,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""K0F""",ALP,WA,Minister for Defence,Senate,Pre-56,Inner,1910-04-29,1913-06-24,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""JYX""",ALP,VIC,Minister (without portfolio),Senate,Pre-56,Inner,1910-04-29,1913-06-24,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""K8L""",ALP,NSW,Postmaster-General,HR,Pre-56,Inner,1910-04-29,1911-10-14,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""K8L""",ALP,NSW,Minister for External Affairs,HR,Pre-56,Inner,1911-10-14,1913-06-24,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""KWL""",ALP,VIC,Minister for Trade and Customs,HR,Pre-56,Inner,1910-04-29,1913-06-24,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""K5D""",ALP,TAS,Minister for Home Affairs,HR,Pre-56,Inner,1910-04-29,1913-06-24,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""F4N""",ALP,QLD,Prime Minister,HR,Pre-56,Inner,1910-04-29,1913-06-24,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""F4N""",ALP,QLD,Treasurer,HR,Pre-56,Inner,1910-04-29,1913-06-24,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""KTF""",ALP,SA,Vice-President of the Executive Council,Senate,Pre-56,Inner,1910-04-29,1913-06-24,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""KZG""",ALP,SA,Minister (without portfolio),HR,Pre-56,Inner,1911-10-23,1913-06-24,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""JX9""",ALP,WA,Minister (without portfolio),HR,Pre-56,Inner,1910-04-29,1911-10-14,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""JX9""",ALP,WA,Postmaster-General,HR,Pre-56,Inner,1911-10-14,1913-06-24,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""JOC""",ALP,SA,Minister for External Affairs,HR,Pre-56,Inner,1910-04-29,1911-10-08,M0008,"08. Fisher (ALP), 29 Apr 1910-24 Jun 1913"
"""K6M""",LP,TAS,Minister (without portfolio),Senate,Pre-56,Inner,1913-06-24,1914-09-17,M0009,"09. Cook (Lib), 24 Jun 1913-17 Sep 1914"
"""KQ4""",LP,VIC,Vice-President of the Executive Council,Senate,Pre-56,Inner,1913-06-24,1914-09-17,M0009,"09. Cook (Lib), 24 Jun 1913-17 Sep 1914"
"""L1R""",LP,VIC,Postmaster-General,HR,Pre-56,Inner,1913-06-24,1914-09-17,M0009,"09. Cook (Lib), 24 Jun 1913-17 Sep 1914"
"""KFK""",LP,QLD,Minister for Trade and Customs,HR,Pre-56,Inner,1913-06-24,1914-09-17,M0009,"09. Cook (Lib), 24 Jun 1913-17 Sep 1914"
"""KUL""",LP,NSW,Minister for Defence,Senate,Pre-56,Inner,1913-06-24,1914-09-17,M0009,"09. Cook (Lib), 24 Jun 1913-17 Sep 1914"
"""F4S""",LP,NSW,Minister for Home Affairs,HR,Pre-56,Inner,1913-06-24,1914-09-17,M0009,"09. Cook (Lib), 24 Jun 1913-17 Sep 1914"
"""F4S""",LP,NSW,Prime Minister,HR,Pre-56,Inner,1913-06-24,1914-09-17,M0009,"09. Cook (Lib), 24 Jun 1913-17 Sep 1914"
"""KCO""",LP,SA,Minister for External Affairs,HR,Pre-56,Inner,1913-06-24,1914-09-17,M0009,"09. Cook (Lib), 24 Jun 1913-17 Sep 1914"
"""KEA""",LP,NSW,Minister (without portfolio),HR,Pre-56,Inner,1913-06-24,1914-09-17,M0009,"09. Cook (Lib), 24 Jun 1913-17 Sep 1914"
"""KFJ""",LP,WA,Treasurer,HR,Pre-56,Inner,1913-06-24,1914-09-17,M0009,"09. Cook (Lib), 24 Jun 1913-17 Sep 1914"
"""KJE""",LP,VIC,Attorney-General,HR,Pre-56,Inner,1913-06-24,1914-09-17,M0009,"09. Cook (Lib), 24 Jun 1913-17 Sep 1914"
"""F4N""",ALP,QLD,Prime Minister,HR,Pre-56,Inner,1914-09-17,1915-10-27,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""F4N""",ALP,QLD,Treasurer,HR,Pre-56,Inner,1914-09-17,1915-10-27,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""DQC""",ALP,NSW,Attorney-General,HR,Pre-56,Inner,1914-09-17,1915-10-27,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""K0F""",ALP,WA,Minister for Defence,Senate,Pre-56,Inner,1914-09-17,1915-10-27,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""KKZ""",ALP,NSW,Vice-President of the Executive Council,Senate,Pre-56,Inner,1914-09-17,1915-10-27,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""K3E""",ALP,VIC,Assistant Minister,Senate,Pre-56,Inner,1914-09-17,1915-10-27,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""KWL""",ALP,VIC,Minister for Trade and Customs,HR,Pre-56,Inner,1914-09-17,1915-10-27,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""KLB""",ALP,WA,Assistant Minister,HR,Pre-56,Inner,1914-09-17,1914-12-14,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""KLB""",ALP,WA,Minister for External Affairs,HR,Pre-56,Inner,1914-12-14,1915-10-27,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""JM8""",ALP,SA,Minister for Home Affairs,HR,Pre-56,Inner,1914-09-17,1915-10-27,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""KK9""",ALP,TAS,Minister for the Navy,HR,Pre-56,Inner,1915-07-12,1915-10-27,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""KK9""",ALP,TAS,Assistant Minister,HR,Pre-56,Inner,1914-09-17,1915-07-12,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""KUF""",ALP,NSW,Postmaster-General,HR,Pre-56,Inner,1914-09-17,1915-10-27,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""JMB""",ALP,VIC,Minister for External Affairs,HR,Pre-56,Inner,1914-09-17,1914-12-09,M0010,"10. Fisher (ALP), 17 Sep 1914-27 Oct 1915"
"""DQC""",ALP,NSW,Minister for Trade and Customs,HR,Pre-56,Inner,1916-09-29,1916-11-14,M0011,"11. Hughes (ALP), 27 Oct 1915-14 Nov 1916"
"""DQC""",ALP,NSW,Attorney-General,HR,Pre-56,Inner,1915-10-27,1916-11-14,M0011,"11. Hughes (ALP), 27 Oct 1915-14 Nov 1916"
"""DQC""",ALP,NSW,Prime Minister,HR,Pre-56,Inner,1915-10-27,1916-11-14,M0011,"11. Hughes (ALP), 27 Oct 1915-14 Nov 1916"
"""K0F""",ALP,WA,Minister for Defence,Senate,Pre-56,Inner,1915-10-27,1916-11-14,M0011,"11. Hughes (ALP), 27 Oct 1915-14 Nov 1916"
"""KKZ""",ALP,NSW,Vice-President of the Executive Council,Senate,Pre-56,Inner,1915-10-27,1916-10-27,M0011,"11. Hughes (ALP), 27 Oct 1915-14 Nov 1916"
"""K3E""",ALP,VIC,Assistant Minister,Senate,Pre-56,Inner,1915-10-27,1916-10-27,M0011,"11. Hughes (ALP), 27 Oct 1915-14 Nov 1916"
"""KHE""",ALP,QLD,Treasurer,HR,Pre-56,Inner,1915-10-27,1916-10-27,M0011,"11. Hughes (ALP), 27 Oct 1915-14 Nov 1916"
"""KWL""",ALP,VIC,Minister for Trade and Customs,HR,Pre-56,Inner,1915-10-27,1916-09-14,M0011,"11. Hughes (ALP), 27 Oct 1915-14 Nov 1916"
"""KLB""",ALP,WA,Minister for External Affairs,HR,Pre-56,Inner,1915-10-27,1916-11-14,M0011,"11. Hughes (ALP), 27 Oct 1915-14 Nov 1916"
"""KK9""",ALP,TAS,Minister for the Navy,HR,Pre-56,Inner,1915-10-27,1916-11-14,M0011,"11. Hughes (ALP), 27 Oct 1915-14 Nov 1916"
"""KXK""",ALP,NSW,Postmaster-General,HR,Pre-56,Inner,1915-10-27,1916-11-14,M0011,"11. Hughes (ALP), 27 Oct 1915-14 Nov 1916"
"""K5D""",ALP,TAS,Minister for Home Affairs,HR,Pre-56,Inner,1915-10-27,1916-11-14,M0011,"11. Hughes (ALP), 27 Oct 1915-14 Nov 1916"
"""DQC""",ALP,NSW,Attorney-General,HR,Pre-56,Inner,1916-11-14,1917-02-17,M0012,"12. Hughes (National Labour), 14 Nov 1916-17 Feb 1917"
"""DQC""",ALP,NSW,Prime Minister,HR,Pre-56,Inner,1916-11-14,1917-02-17,M0012,"12. Hughes (National Labour), 14 Nov 1916-17 Feb 1917"
"""KRZ""",ALP,WA,Minister for Works and Railways,Senate,Pre-56,Inner,1916-11-14,1917-02-17,M0012,"12. Hughes (National Labour), 14 Nov 1916-17 Feb 1917"
"""K0F""",ALP,WA,Minister for Defence,Senate,Pre-56,Inner,1916-11-14,1917-02-17,M0012,"12. Hughes (National Labour), 14 Nov 1916-17 Feb 1917"
"""JNV""",ALP,QLD,Minister for Home and Territories,HR,Pre-56,Inner,1916-11-14,1917-02-17,M0012,"12. Hughes (National Labour), 14 Nov 1916-17 Feb 1917"
"""K3E""",ALP,VIC,Assistant Minister,Senate,Pre-56,Inner,1916-11-14,1917-02-17,M0012,"12. Hughes (National Labour), 14 Nov 1916-17 Feb 1917"
"""KYD""",ALP,SA,Treasurer,HR,Pre-56,Inner,1916-11-14,1917-02-17,M0012,"12. Hughes (National Labour), 14 Nov 1916-17 Feb 1917"
"""KTU""",ALP,TAS,Assistant Minister,HR,Pre-56,Inner,1916-11-14,1917-02-17,M0012,"12. Hughes (National Labour), 14 Nov 1916-17 Feb 1917"
"""JM8""",ALP,SA,Minister for Trade and Customs,HR,Pre-56,Inner,1916-11-14,1917-02-17,M0012,"12. Hughes (National Labour), 14 Nov 1916-17 Feb 1917"
"""KK9""",ALP,TAS,Minister for the Navy,HR,Pre-56,Inner,1916-11-14,1917-02-17,M0012,"12. Hughes (National Labour), 14 Nov 1916-17 Feb 1917"
"""KUF""",ALP,NSW,Vice-President of the Executive Council,HR,Pre-56,Inner,1916-11-14,1917-02-17,M0012,"12. Hughes (National Labour), 14 Nov 1916-17 Feb 1917"
"""KXK""",ALP,NSW,Postmaster-General,HR,Pre-56,Inner,1916-11-14,1917-02-17,M0012,"12. Hughes (National Labour), 14 Nov 1916-17 Feb 1917"
"""DQC""",NAT,NSW,Attorney-General,HR,Pre-56,Inner,1917-02-17,1918-01-08,M0013,"13. Hughes (Nationalist), 17 Feb 1917-8 Jan 1918"
"""DQC""",NAT,NSW,Prime Minister,HR,Pre-56,Inner,1917-02-17,1918-01-08,M0013,"13. Hughes (Nationalist), 17 Feb 1917-8 Jan 1918"
"""K0F""",NAT,WA,Minister for Defence,Senate,Pre-56,Inner,1917-02-17,1918-01-08,M0013,"13. Hughes (Nationalist), 17 Feb 1917-8 Jan 1918"
"""KFK""",NAT,QLD,Vice-President of the Executive Council,HR,Pre-56,Inner,1917-11-16,1918-01-08,M0013,"13. Hughes (Nationalist), 17 Feb 1917-8 Jan 1918"
"""KFK""",NAT,QLD,Honorary Minister,HR,Pre-56,Inner,1917-02-17,1917-11-16,M0013,"13. Hughes (Nationalist), 17 Feb 1917-8 Jan 1918"
"""KXG""",NAT,VIC,Minister for Works and Railways,HR,Pre-56,Inner,1917-02-17,1918-01-08,M0013,"13. Hughes (Nationalist), 17 Feb 1917-8 Jan 1918"
