_id,id.senator,id.member,bio.fulltitle,links.aph,bio.title,bio.prefname,bio.surname,bio.postnominal,bio.postnominalyear,bio.othername,bio.gender,date#bio.dateofbirth,bio.placeofbirth,date#bio.dateofdeath,date#bio.servicefrom,date#bio.serviceto,bio.servicedaystotal,bio.olb,division[0].status,division[0].parltype,division[0].aecdivid,division[0].divname,division[0].divstate,division[0].starttype,date#division[0].startdate,date#division[0].enddate,division[0].endtype,division[0].endreason,division[1].parltype,division[1].aecdivid,division[1].divname,division[1].divstate,division[1].starttype,date#division[1].startdate,date#division[1].enddate,division[1].endtype,division[1].endreason,division[2].parltype,division[2].aecdivid,division[2].divname,division[2].divstate,division[2].starttype,date#division[2].startdate,date#division[2].enddate,date#division[2].endtype,division[2].endreason,division[3].parltype,division[3].aecdivid,division[3].divname,division[3].divstate,division[3].starttype,date#division[3].startdate,date#division[3].enddate,,division[3].endreason,party.count,party[0].partyname,party[0].partycode,party[0].coalition,date#party[0].startdate,date#party[0].enddate,party[1].partyname,party[1].partycode,party[1].coalition,date#party[1].startdate,date#party[1].enddate,party[2].partyname,party[2].partycode,party[2].coalition,date#party[2].startdate,date#party[2].enddate,parliamentaryposition[0].status,parliamentaryposition[0].chamber,parliamentaryposition[0].title,date#parliamentaryposition[0].startdate,date#parliamentaryposition[0].enddate,parliamentaryposition[1].chamber,parliamentaryposition[1].title,date#parliamentaryposition[1].startdate,date#parliamentaryposition[1].enddate,,,,,,,,,,,,
"""2K6""",,H0893,"Brough, Malcolm Thomas",aph bio,the Hon.,Mal,BROUGH,,,,Male,1961-12-29,"Brisbane, QLD",,1996-03-02,,4946,Current Member for Fisher (2013- ) et al.,Current,Member,,Fisher,QLD,2013-FULL,2013-09-07,,,,Member,,Longman,QLD,1996-CASUAL1,1996-03-02,2007-11-24,2007-FULL,Defeated,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1996-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""F49""",S0513,,"Brown, Carol Louise",aph bio,,Carol,BROWN,,,,Female,1963-07-19,"Hobart, TAS",,2005-08-25,,3597,Current Senator for Tasmania (2005- ),Current,Senator,,Tasmania,TAS,2005-CASUAL2-TAS,2005-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australian Labor Party,ALP,,2005-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JSI""",,H0393,"Brown, Geoffrey William",aph bio,,Geoffrey,BROWN,MBE,,,Male,1894-04-25,"Colac, VIC",1955-10-14,1949-12-10,1955-10-14,2134,Former Member for McMillan (1949-1955),Former,Member,,McMillan,VIC,1949-FULL,1949-12-10,1955-10-14,1955-FULL-NOBY,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1949-12-10,1955-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K6P""",S0143,,"Brown, Gordon",aph bio,The Hon.,Gordon,BROWN,,,,Male,1885-02-11,"Derbyshire, England",1967-01-12,1932-07-01,1965-06-30,12052,Former Senator for Queensland (1932-1965),Former,Senator,,Queensland,QLD,1931-FULL,1932-07-01,1965-06-30,1964-SENATE,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""OD4""",,H0696,"Brown, John Joseph",aph bio,The Hon.,John,BROWN,AO,,,Male,1931-12-19,"Sydney, NSW",,1977-12-10,1990-02-19,4454,Former Member for Parramatta (1977-1990),Former,Member,,Parramatta,NSW,1977-FULL,1977-12-10,1990-02-19,1990-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1977-12-10,1990-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JSK""",,H0099,"Brown, Joseph Tilley",aph bio,,Joseph,BROWN,,,,Male,1843-02-07,"Saint John, England",1925-09-28,1906-12-12,1910-04-13,1218,Former Member for Indi (1906-1910),Former,Member,,Indi,VIC,1906-FULL,1906-12-12,1910-04-13,1910-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,{fill},ANTI-SOC,,1906-12-12,1910-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PD4""",,H0587,"Brown, Neil Anthony",aph bio,The Hon.,Neil,BROWN,QC,,,Male,1940-02-22,"Melbourne, VIC",,1969-10-25,1991-02-25,6050,Former Member for Menzies (1984-1991) et al.,Former,Member,,Menzies,VIC,1984-FULL,1984-12-01,1991-02-25,1991-BY-MENZIES,Resigned,Member,,Diamond Valley,VIC,1975-DOUBLE,1975-12-13,1983-03-05,1983-DOUBLE,Defeated,Member,,Diamond Valley,Vic,1969-HOUSE,1969-10-25,1972-12-02,1972-HOUSE,Defeated,,,,,,,,,,ONE,Liberal Party,LIB,,1969-10-25,1991-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""QD4""",S0457,,"Brown, Robert James",aph bio,,Bob,BROWN,,,,Male,1944-12-27,"Oberon, NSW",,1996-07-01,2012-06-15,5828,Former Senator for Tasmania (1996-2012),Former,Senator,,Tasmania,TAS,1996-FULL,1996-07-01,2012-06-15,2012-CASUAL4-TAS,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""5A5""",,H0709,"Brown, Robert James",,the Hon. ,Bob,BROWN,,,,Male,1933-12-02,"Pelaw Main, NSW",,1980-10-18,1998-08-31,6526,Former Member for Charlton (1984-1998) et al.,Former,Member,,Charlton,NSW,1984-FULL,1984-12-01,1998-08-31,1998-FULL,Retired,Member,,Hunter,NSW,1980-FULL,1980-10-18,1984-12-01,1984-FULL,Moved at Redistribution (to Charlton),,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1980-10-18,1998-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JSM""",,H0003,"Brown, Thomas",aph bio,the Hon. ,Thomas,BROWN,,,,Male,1861-10-06,"Forbes, NSW",1934-03-23,1901-03-29,1913-05-31,4446,Former Member for Calare (1906-1913) et al.,Former,Member,,Calare,NSW,1906-FULL,1906-12-12,1913-05-31,1913-FULL,Defeated,Member,,Canobolas,NSW,1901-FULL1,1901-03-29,1906-12-12,1906-FULL,Abolished at Redistribution (to Calare),,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1901-03-29,1913-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K3A""",S0292,,"Brown, William Walter Charles",aph bio,,William,BROWN,,,,Male,1920-12-04,"Brunswick, VIC",2001-06-26,1969-11-19,1978-06-30,2922,Former Senator for Victoria (1971-1978) et al.,Former,Senator,,Victoria,VIC,1970-SENATE,1971-07-01,1978-06-30,1977-FULL,Defeated,Senator,,Victoria,VIC,1969-CASUAL2-VIC,1969-11-19,1970-11-20,1970-SENATE,expired re-elected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JSO""",,H0561,"Brownbill, Kay Cathrine Millin",aph bio,,Kay,BROWNBILL,OBE,,,Female,1914-07-21,"Adelaide, SA",2002-02-03,1966-11-26,1969-10-25,1064,Former Member for Kingston (1966-1969),Former,Member,,Kingston,SA,1966-HOUSE,1966-11-26,1969-10-25,1969-HOUSE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1966-11-26,1969-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JSQ""",,H0496,"Browne, Peter Grahame",aph bio,,Peter,BROWNE,,,,Male,1924-07-15,"Sydney, NSW",2000-09-11,1958-11-22,1961-12-09,1113,Former Member for Kalgoorlie (1958-1961),Former,Member,,Kalgoorlie,WA,1958-FULL,1958-11-22,1961-12-09,1961-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1958-11-22,1961-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RD4""",S0380,,"Brownhill, David Gordon Cadell",aph bio,the Hon.,David,BROWNHILL,,,,Male,1935-11-16,"Mudgee, NSW",,1984-12-01,2000-04-14,5613,Former Senator for New South Wales (1984-2000),Former,Senator,,New South Wales,NSW,1984-FULL-NEW,1984-12-01,2000-04-14,2000-CASUAL2-NSW,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JSS""",,H0452,"Bruce, Henry Adam",aph bio,The Hon.,Harry,BRUCE,,,,Male,1884-05-16,"Wandiligong, VIC",1958-10-11,1951-04-28,1958-10-11,2723,Former Member for Leichhardt (1951-1958),Former,Member,,Leichhardt,QLD,1951-DOUBLE,1951-04-28,1958-10-11,1958-FULL-NOBY,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1951-04-28,1958-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""009MA""",,H0431,"McMahon, William (Later Sir William)",aph bio,Rt. Hon. Sir,William,MCMAHON,"GCMG, CH",,,Male,1908-02-23,"Sydney, NSW",1988-03-31,1949-12-10,1982-01-04,11713,Former Member for Lowe (1949-1982),Former,Member,,Lowe,NSW,1949-FULL,1949-12-10,1982-01-04,1982-BY1-LOWE,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1949-12-10,1982-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""1F4""",,H0742,"Brumby, John Mansfield",aph bio,,John,BRUMBY,,,,Male,1953-04-21,"Melbourne, VIC",,1983-03-05,1990-03-24,2576,Former Member for Bendigo (1983-1990),Former,Member,,Bendigo,VIC,1983-DOUBLE,1983-03-05,1990-03-24,1990-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1983-03-05,1990-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JSU""",,H0474,"Bryant, Gordon Munro",aph bio,The Hon.,Gordan,BRYANT,ED,,,Male,1914-08-03,"Lismore, VIC",1991-01-14,1955-12-10,1980-09-19,9050,Former Member for Wills (1955-1980),Former,Member,,Wills,VIC,1955-FULL,1955-12-10,1980-09-19,1980-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1955-12-10,1980-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JSW""",,H0355,"Bryson, William George",aph bio,,Bill,BRYSON,,,,Male,1898-02-24,"Maldon, VIC",1973-03-02,1943-08-21,1955-12-10,3325,Former Member for Wills (1949-1955) et al.,Former,Member,,Wills,VIC,1949-FULL,1949-12-10,1955-12-10,1955-FULL,Defeated,Member,,Bourke,VIC,1943-FULL,1943-08-21,1946-09-28,1946-FULL,Defeated,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JSY""",,H0475,"Buchanan, Alexander Andrew",aph bio,,Alexander,BUCHANAN,,,,Male,1905-10-04,"Melbourne, VIC",1985-09-10,1955-12-10,1972-12-02,6202,Former Member for McMillan (1955-1972),Former,Member,,McMillan,VIC,1955-FULL,1955-12-10,1972-12-02,1972-HOUSE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""230531""",,H1069,"Buchholz, Scott Andrew",aph bio,,Scott,BUCHHOLZ,,,,Male,1968-03-27,"Rockhampton, QLD",,2010-08-21,,1775,Current Member for Wright (2010- ),Current,Member,,Wright,QLD,2010-FULL,2010-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,2010-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""009D2""",S0482,,"Buckland, Geoffrey Frederick",aph bio,,Geoffrey,BUCKLAND,,,,Male,1947-11-10,"Sydney, NSW",,2000-09-14,2005-06-30,1750,Former Senator for South Australia (2000-2005),Former,Senator,,South Australia,SA,2000-CASUAL3-SA,2000-09-14,2005-06-30,2004-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K3J""",S0270,,"Bull, Thomas Louis",aph bio,,Thomas,BULL,OBE  ,,,Male,1905-09-07,"Wagga Wagga, NSW",1976-08-11,1965-07-01,1971-06-30,2190,Former Senator for New South Wales (1965-1971),Former,Senator,,New South Wales,NSW,1964-SENATE,1965-07-01,1971-06-30,1970-SENATE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""243237""",S0560,,"Bullock, Joseph Warrington",aph bio,,Joe,BULLOCK,,,,Male,1955-04-13,"Sydney, NSW",,2014-07-01,,365,Current Senator for Western Australia (2014- ),Current,Senator,,Western Australia,WA,2013-FULL,2014-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,2014-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JT9""",,H0642,"Bungey, Melville Harold",aph bio,,Melville,BUNGEY,,,,Male,1934-08-30,"Gnowangerup, WA",,1974-05-18,1983-03-05,3213,Former Member for Canning (1974-1983),Former,Member,,Canning,WA,1974-DOUBLE,1974-05-18,1983-03-05,1983-DOUBLE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1974-05-18,1983-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K3N""",S0325,,"Bunton, Cleaver Ernest",aph bio,,Cleaver,BUNTON,OBE  ,,,Male,1902-05-05,"Albury, NSW",1999-01-20,1975-02-27,1975-11-11,257,Former Senator for New South Wales (1975-1975),Former,Senator,,New South Wales,NSW,1975-CASUAL1-NSW,1975-02-27,1975-11-11,1975-DOUBLE,Expired Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JTC""",,H0149,"Burchell, Reginald John",aph bio,,Reginald,BURCHELL,MC  ,,,Male,1883-05-20,"Port Pirie, SA",1955-06-20,1913-05-31,1922-11-06,3446,Former Member for Fremantle (1913-1922),Former,Member,,Fremantle,WA,1913-FULL,1913-05-31,1922-11-06,1922-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""83S""",,H0940,"Burke, Anna Elizabeth",aph bio,,Anna,BURKE,,,,Female,1966-01-01,"Melbourne, VIC",,1998-10-03,,6115,Current Member for Chisholm (1998- ),Current,Member,,Chisholm,VIC,1998-FULL,1998-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1998-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""DYW""",,H1001,"Burke, Anthony Stephen",aph bio,the Hon.,Tony,BURKE,,,,Male,1969-11-04,"Sydney, NSW",,2004-10-09,,3917,Current Member for Watson ii (2004- ),Current,Member,,Watson ii,NSW,2004-FULL,2004-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,2004-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JTF""",,H0356,"Burke, Thomas Patrick",aph bio,,Tom,BURKE,,,,Male,1910-08-28,"Moora, WA",1973-01-17,1943-08-21,1955-12-10,4494,Former Member for Perth (1943-1955),Former,Member,,Perth,WA,1943-FULL,1943-08-21,1955-12-10,1955-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1943-08-21,1955-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2F4""",S0397,,"Burns, Bryant Robert",aph bio,,Bryant,BURNS,,,,Male,1929-03-24,"Rockhampton, QLD",,1987-07-11,1996-06-30,3277,Former Senator for Queensland (1987-1996),Former,Senator,,Queensland,QLD,1987-DOUBLE,1987-07-11,1996-06-30,1996-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JTI""",,H0150,"Burns, George Mason",aph bio,,George,BURNS,,,,Male,1869-04-19,"Mogo, NSW",1932-08-15,1913-05-31,1917-05-05,1435,Former Member for Illawarra (1913-1917),Former,Member,,Illawarra,NSW,1913-FULL,1913-05-31,1917-05-05,1917-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1913-05-31,1917-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JTM""",,H0697,"Burns, William George",aph bio,,William,BURNS,,,,Male,1933-10-22,"Donaghadee, Northern Ireland",2009-03-16,1977-12-10,1980-10-18,1043,Former Member for Isaacs (1977-1980),Former,Member,,Isaacs,VIC,1977-FULL,1977-12-10,1980-10-18,1980-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1977-12-10,1980-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""3F4""",,H0666,"Burr, Maxwell Arthur",aph bio,,Maxwell,BURR,,,,Male,1939-01-09,"Cressy, TAS",,1975-12-13,1993-02-08,6267,Former Member for Lyons (1984-1993) et al.,Former,Member,,Lyons,TAS,1984-FULL,1984-12-01,1993-02-08,1993-FULL,Retired,Member,,Wilmot,TAS,1975-DOUBLE,1975-12-13,1984-12-01,1984-FULL,Abolished at Redistribution (to Lyons),,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1975-12-13,1993-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JTP""",,H0491,"Bury, Leslie Harry Ernest",aph bio,The Hon.,Leslie,BURY,,,,Male,1913-02-25,"London, England",1986-09-07,1956-12-08,1974-04-11,6333,Former Member for Wentworth (1956-1974),Former,Member,,Wentworth,NSW,1956-BY3-WENTWORTH,1956-12-08,1974-04-11,1974-DOUBLE,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1956-12-08,1974-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""HLL""",S0519,,"Bushby, David Christopher",aph bio,,David,BUSHBY,,,,Male,1965-07-17,"Launceston, TAS",,2007-08-30,,2862,Current Senator for Tasmania (2007- ),Current,Senator,,Tasmania,TAS,2007-CASUAL5-TAS,2007-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liberal,LP,LPNP,2007-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""HWK""",,H1022,"Butler, Mark Christopher",aph bio,the Hon.,Mark,BUTLER,,,,Male,1970-07-08,"Canberra, ACT",,2007-11-24,,2776,Current Member for Port Adelaide (2007- ),Current,Member,,Port Adelaide,SA,2007-FULL,2007-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,2007-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""248006""",,H1134,"Butler, Terri Megan",aph bio,,Terri,BUTLER,,,,Female,1977-11-28,"Cairns, QLD",,2014-02-08,,508,Current Member for Griffith (2014- ),Current,Member,,Griffith,QLD,2014-BY-GRIFFITH,2014-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,2014-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K3O""",S0240,,"Buttfield, Nancy Eileen (Later Dame Nancy)",aph bio,Dame,Nancy,BUTTFIELD,DBE,,,Female,1912-11-12,"Adelaide, SA",2005-09-04,1955-10-11,1974-04-11,5659,Former Senator for South Australia (1968-1974) et al.,Former,Senator,,South Australia,SA,1967-SENATE,1968-07-01,1974-04-11,1974-DOUBLE,Retired,Senator,,South Australia,SA,1961-FULL,1961-12-09,1965-06-30,1964-SENATE,Defeated,Senator,,South Australia,SA,1955-CASUAL1-SA,1955-10-11,1961-12-08,1962-CASUAL1-SA,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""4F4""",S0311,,"Button, John Norman",aph bio,The Hon.,John,BUTTON,,,,Male,1932-06-30,"Ballarat, VIC",2008-04-08,1974-05-18,1993-03-31,6892,Former Senator for Victoria (1974-1993),Former,Senator,,Victoria,VIC,1974-DOUBLE,1974-05-18,1993-03-31,1993-CASUAL1-VIC,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K3Q""",S0062,,"Buzacott, Richard",aph bio,,Richard,BUZACOTT,,,,Male,1867-09-07,"Emu Flat, SA",1933-01-10,1910-07-01,1923-06-30,4747,Former Senator for Western Australia (1910-1923),Former,Senator,,Western Australia,WA,1910-FULL,1910-07-01,1923-06-30,1922-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""008K0""",,H0973,"Byrne, Anthony Michael",aph bio,the Hon.,Anthony,BYRNE,,,,Male,1962-12-01,"Adelaide, SA",,1999-11-06,,5716,Current Member for Holt (1999- ),Current,Member,,Holt,VIC,1999-BY-HOLT,1999-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1999-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K3R""",S0226,,"Byrne, Condon Bryan",aph bio,,Condon,BYRNE,,,,Male,1910-05-25,"Yea, VIC",1993-11-25,1951-04-28,1974-05-18,5132,Former Senator for Queensland (1968-1974) et al.,Former,Senator,,Queensland,QLD,1967-SENATE,1968-07-01,1974-05-18,1974-DOUBLE,Defeated,Senator,,Queensland,QLD,1951-DOUBLE,1951-04-28,1959-06-30,1958-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SD4""",,H0643,"Cadman, Alan Glyndwr",aph bio,The Hon.,Alan,CADMAN,OAM,,,Male,1937-07-26,"Sydney, NSW",,1974-05-18,2007-10-17,12205,Former Member for Mitchell (1974-2007),Former,Member,,Mitchell,NSW,1974-DOUBLE,1974-05-18,2007-10-17,2007-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1974-05-18,2007-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""1V4""",,H0476,"Cairns, James Ford",aph bio,The Hon.,James,CAIRNS,,,,Male,1914-10-04,"Carlton, VIC",2003-10-12,1955-12-10,1977-11-10,8006,Former Member for Lalor (1969-1977) et al.,Former,Member,,Lalor,VIC,1969-HOUSE,1969-10-25,1977-11-10,1977-FULL,Retired,Member,,Yarra,VIC,1955-FULL,1955-12-10,1969-10-25,1969-HOUSE,Abolished at Redistribution (to Lalor),,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1955-12-10,1977-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JTS""",,H0539,"Cairns, Kevin Michael Kiernan",aph bio,The Hon.,Kevin,CAIRNS,,,,Male,1929-05-15,"Sydney, NSW",1984-07-06,1963-11-30,1980-10-18,5635,Former Member for Lilley (1974-1980) et al.,Former,Member,,Lilley,QLD,1974-DOUBLE,1974-05-18,1980-10-18,1980-FULL,Defeated,Member,,Lilley,QLD,1963-HOUSE,1963-11-30,1972-12-02,1972-HOUSE,Defeated,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1963-11-30,1980-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JTW""",,H0562,"Calder, Stephen Edward",aph bio,,Stephen,CALDER,OBE DFC,,,Male,1916-08-10,"Melbourne, VIC",2008-09-30,1966-11-26,1980-09-19,5046,Former Member for Northern Territory (HoR) (1966-1980),Former,Member,,Northern Territory (HoR),NT,1966-HOUSE,1966-11-26,1980-09-19,1980-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""5F4""",S0398,,"Calvert, Paul Henry",aph bio,The Hon.,Paul,CALVERT,,,,Male,1940-01-19,"Hobart, TAS",,1987-07-11,2007-08-29,7354,Former Senator for Tasmania (1987-2007),Former,Senator,,Tasmania,TAS,1987-DOUBLE,1987-07-11,2007-08-29,2007-CASUAL5-TAS,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KH5""",S0204,H0580,"Gorton, John Grey",aph bio,Rt. Hon.,John,GORTON,CH,,,Male,1911-09-09,"Melbourne, VIC",2002-05-19,1949-12-10,1975-11-11,9444,Former Member for Higgins (1968-1975) et al.,Former,Member,,Higgins,VIC,1968-BY-HIGGINS,1968-02-24,1975-11-11,1975-DOUBLE,Retired,Senator,,Victoria,VIC,1949-FULL-NEW,1949-12-10,1968-02-01,1968-CASUAL1-VIC,Resigned,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JTY""",,H0308,"Cameron, Archie Galbraith",aph bio,The Hon.,Archie,CAMERON,,,,Male,1895-03-22,"Happy Valley, SA",1956-08-09,1934-09-15,1956-08-09,7999,Former Member for Barker (1934-1956),Former,Member,,Barker,SA,1934-FULL,1934-09-15,1956-08-09,1956-BY2-BARKER,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2V4""",,H0394,"Cameron, Clyde Robert",aph bio,The Hon.,Clyde,CAMERON,AO,,,Male,1913-02-11,"Murray Bridge, SA",2008-03-14,1949-12-10,1980-09-19,11241,Former Member for Hindmarsh (1949-1980),Former,Member,,Hindmarsh,SA,1949-FULL,1949-12-10,1980-09-19,1980-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1949-12-10,1980-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K3S""",S0004,,"Cameron, Cyril St Clair",aph bio,Lieut.-Colonel the Hon. ,Cyril,CAMERON,CB,,,Male,1857-12-05,"Launceston, TAS",1941-12-22,1901-03-29,1913-06-30,3379,Former Senator for Tasmania (1907-1913) et al.,Former,Senator,,Tasmania,TAS,1906-FULL,1907-01-01,1913-06-30,1913-FULL,Defeated,Senator,,Tasmania,TAS,1901-FULL1,1901-03-29,1903-12-31,1903-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""L8E""",S0167,,"Cameron, Donald",aph bio,The Hon.,Don,CAMERON,,,,Male,1878-01-19,"North Melbourne, VIC",1962-08-20,1938-07-01,1962-06-30,8765,Former Senator for Victoria (1938-1962),Former,Senator,,Victoria,VIC,1937-FULL,1938-07-01,1962-06-30,1961-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
