phid,sen_id,rep_id,name,given_name,additional_name,bio.prefname,family_name,honorific_prefix,honorific_suffix,gender,=birth,place_of_birth,=death
HLL,S0519,,David Bushby,David,Christopher,David,Bushby,,,Male,1965-07-17,"Launceston, TAS"
HWK,,H1022,Mark Butler,Mark,Christopher,Mark,Butler,the Hon.,,Male,1970-07-08,"Canberra, ACT"
248006,,H1134,Terri Butler,Terri,Megan,Terri,Butler,,,Female,1977-11-28,"Cairns, QLD"
K3O,S0240,,Nancy Buttfield,Nancy,Eileen,Nancy,Buttfield,(later Dame),DBE,Female,1912-11-12,"Adelaide, SA",2005-09-04
4F4,S0311,,John Button,John,Norman,John,Button,The Hon.,,Male,1932-06-30,"Ballarat, VIC",2008-04-08
K3Q,S0062,,Richard Buzacott,Richard,,Richard,Buzacott,,,Male,1867-09-07,"Emu Flat, SA",1933-01-10
008K0,,H0973,Anthony Byrne,Anthony,Michael,Anthony,Byrne,the Hon.,,Male,1962-12-01,"Adelaide, SA"
K3R,S0226,,Condon Byrne,Condon,Bryan,Condon,Byrne,,,Male,1910-05-25,"Yea, VIC",1993-11-25
SD4,,H0643,Alan Cadman,Alan,Glyndwr,Alan,Cadman,The Hon.,OAM,Male,1937-07-26,"Sydney, NSW"
1V4,,H0476,James Cairns,James,Ford,James,Cairns,The Hon.,,Male,1914-10-04,"Carlton, VIC",2003-10-12
JTS,,H0539,Kevin Cairns,Kevin,Michael Kiernan,Kevin,Cairns,The Hon.,,Male,1929-05-15,"Sydney, NSW",1984-07-06
JTW,,H0562,Stephen Calder,Stephen,Edward,Stephen,Calder,,OBE DFC,Male,1916-08-10,"Melbourne, VIC",2008-09-30
5F4,S0398,,Paul Calvert,Paul,Henry,Paul,Calvert,The Hon.,,Male,1940-01-19,"Hobart, TAS"
BV8,,H0340,Arthur Calwell,Arthur,Augustus,Arthur,Calwell,Rt. Hon.,,Male,1896-08-28,"West Melbourne, VIC",1973-07-08
JTY,,H0308,Archie Cameron,Archie,Galbraith,Archie,Cameron,The Hon.,,Male,1895-03-22,"Happy Valley, SA",1956-08-09
2V4,,H0394,Clyde Cameron,Clyde,Robert,Clyde,Cameron,The Hon.,AO,Male,1913-02-11,"Murray Bridge, SA",2008-03-14
K3S,S0004,,Cyril Cameron,Cyril,St Clair,Cyril,Cameron,Lieut.-Colonel the Hon. ,CB,Male,1857-12-05,"Nile, TAS",1941-12-22
L8E,S0167,,Don Cameron,Donald,James,Don,Cameron,The Hon.,,Male,1878-01-19,"North Melbourne, VIC",1962-08-20
JUJ,,H0004,Donald Cameron,Donald,Norman,Donald,Cameron,the Hon. ,,Male,1851-11-03,"Nile, TAS",1931-02-17
JUB,,H0191,Donald Cameron,Donald,Charles,Donald,Cameron,(later Sir),"KCMG, DSO, VD",Male,1879-11-19,"Brisbane, QLD",1960-11-19
JU8,,H0395,Donald Cameron,Donald,Alastair,Donald,Cameron,The Hon.,OBE,Male,1900-03-17,"Ipswich, QLD",1974-01-05
JUF,,H0519,Donald Cameron,Donald,James,Donald,Cameron,,,Male,1917-10-15,"Cloncurry, QLD",1964-06-22
K3T,S0293,,Donald Cameron,Donald,Newton,Donald,Cameron,,,Male,1914-01-13,"Murray Bridge, SA",1998-06-05
9F4,,H0563,Donald Cameron,Donald,Milner,Donald,Cameron,,,Male,1940-02-06,"Brisbane, QLD"
AI6,S0522,,Doug Cameron,Douglas,Niven,Doug,Cameron,the Hon.,,Male,1951-01-27,"Bellshill, Scotland"
6V5,,H0852,Eoin Cameron,Eoin,Harrap,Eoin,Cameron,,,Male,1951-01-04,"Mt Gambier, SA"
AF4,,H0698,Ewen Cameron,Ewen,Colin,Ewen,Cameron,,,Male,1930-01-12,"Melbourne, VIC"
BF4,,H0710,Ian Cameron,Ian,Milne Dixon,Ian,Cameron,,,Male,1938-03-08,"Melbourne, VIC"
JVZ,,H0213,Malcolm Cameron,Malcolm,Duncan,Malcolm,Cameron,,,Male,1873-07-12,?,1935-03-01
K3V,S0294,,Martin Cameron,Martin,Bruce,Martin,Cameron,,,Male,1935-08-24,"Millicent, SA"
3K6,,H0894,Ross Cameron,Ross,Alexander,Ross,Cameron,the Hon.,,Male,1965-05-14,"Sydney, NSW"
NB5,S0465,,George Campbell,George,,George,Campbell,,,Male,1943-02-18,"Belfast, Northern Ireland"
CF4,,H0711,Graeme Campbell,Graeme,,Graeme,Campbell,,,Male,1939-08-13,"Abingdon, England"
H15,S0418,,Ian Campbell,Ian,Gordon,Ian,Campbell,The Hon.,,Male,1959-05-22,"Perth, WA"
HWC,,H1023,Jodie Campbell,Jodie,Louise,Jodie,Campbell,,,Female,1972-01-18,"Queenstown, TAS"
245212,S0561,,Matthew Canavan,Matthew,James,Matthew,Canavan,,,Male,1980-12-17,"Southport, QLD"
JW6,,H0124,George Cann,George,,George,Cann,the Hon. ,,Male,1871-05-30,"Northumberland, England",1948-10-18
K3W,S0249,,Hartley Cant,Hartley,Gordon James,Hartley,Cant,,,Male,1907-11-19,"Mount Magnet, WA",1977-03-03
JW8,,H0667,Colin Carige,Colin,Lawrence,Colin,Carige,,,Male,1938-07-19,"Mount Morgan, QLD",2002-05-14
DF4,,H0699,James Carlton,James,Joseph,James,Carlton,the Hon.,,Male,1935-05-13,"Sydney, NSW"
JWA,,H0079,William Carpenter,William,Henry,William,Carpenter,,,Male,1863-04-05,"Stratton, England",1930-09-11
WX4,S0548,,Bob Carr,Robert,John,Bob,Carr,the Hon.,,Male,1947-09-28,"Matraville, NSW"
JWC,,H0100,Ernest Carr,Ernest,Shoobridge,Ernest,Carr,,,Male,1875-09-28,"Dubbo, NSW",1956-09-17
AW5,S0434,,Kim Carr,Kim,John,Kim,Carr,the Hon.,,Male,1955-07-02,"Tumut, NSW"
2U4,S0298,,John Carrick,John,Leslie,John,Carrick,the Hon. (later Sir),KCMG,Male,1918-09-04,"Sydney, NSW"
K3X,S0123,,William Carroll,William,,William,Carroll,,,Male,1872-01-03,"Garvoc, VIC",1936-05-30
JWE,,H0280,Richard Casey,Richard,Gardiner,Richard,Casey,Rt. Hon.,"PC, CH, DSO, MC",Male,1890-08-29,"Brisbane, QLD",1976-06-17
JWK,,H0497,Doug Cash,Earl,Douglas,Doug,Cash,,,Male,1919-07-15,"Manitoba, Canada",2002-02-15
I0M,S0523,,Michaelia Cash,Michaelia,Clare,Michaelia,Cash,the Hon.,,Female,1970-07-19,"Subiaco, WA"
JNG,,H0588,Moses Cass,Moses,Henry,Moses,Cass,The Hon.,,Male,1927-02-18,"Corrigin, WA"
NT4,,H0822,Bob Catley,Robert,,Bob,Catley,Dr,,Male,1942-09-01,Wales
JWO,,H0101,James Catts,James,Howard,James,Catts,,,Male,1877-08-12,"Wagga Wagga, NSW",1951-11-26
4K6,,H0895,Ian Causley,Ian,Raymond,Ian,Causley,the Hon.,,Male,1940-10-19,"Maclean, NSW"
K6F,S0257,,James Cavanagh,James,Luke,James,Cavanagh,The Hon.,,Male,1913-06-21,"Paddington, SA",1990-08-19
37998,,H1095,Jim Chalmers,James,Edward,Jim,Chalmers,Dr,,Male,1978-03-02,"Brisbane, QLD"
SN5,S0432,,Christabel Chamarette,Christabel,Marguerite Alain,Christabel,Chamarette,,,Female,1948-05-01,"Hyderabad, India"
K6H,S0227,,Jack Chamberlain,John,Hartley,Jack,Chamberlain,,,Male,1884-04-29,"Manchester, England",1953-01-16
JWR,,H0357,Cyril Chambers,Cyril,,Cyril,Chambers,The Hon.,,Male,1897-02-28,"Adelaide, SA",1975-10-03
HW9,,H1024,Nick Champion,Nicholas,David,Nick,Champion,,,Male,1972-02-27,"Elizabeth, SA"
JWV,,H0477,Fred Chaney,Frederick,Charles,Fred,Chaney,The Hon.,AO,Male,1914-10-12,"Perth, WA",2001-12-17
EF4,S0312,H0823,Frederick Chaney,Frederick,Michael,Frederick,Chaney,The Hon.,,Male,1941-10-28,"Perth, WA"
JWY,,H0005,John Chanter,John,Moore,John,Chanter,The Hon.,,Male,1845-02-11,"Adelaide, SA",1931-03-09
JX7,,H0006,Austin Chapman,Austin,,Austin,Chapman,the Hon. (later Sir),KCMG ,Male,1864-07-10,"Bowral, NSW",1926-01-12
FF4,S0399,H0668,Hedley Chapman,Hedley,Grant Pearson,Hedley,Chapman,,,Male,1949-04-27,"North Adelaide, SA"
K6I,S0124,,John Chapman,John,Hedley,John,Chapman,,,Male,1879-12-16,"Jamestown, SA",1931-03-14
OT4,,H0824,Bob Charles,Robert,Edwin,Bob,Charles,,,Male,1936-07-24,"Covington, Kentucky, USA"
GF4,,H0712,David Charles,David,Ernest,David,Charles,,,Male,1948-03-02,"Melbourne, VIC"
K6J,S0005,,David Charleston,David,Morley,David,Charleston,the Hon. ,,Male,1848-05-27,"St Erth, England",1934-06-30
TD4,,H0743,Ric Charlesworth,Richard,Ian,Ric,Charlesworth,Dr,AM,Male,1952-02-06,"Perth, WA"
JXA,,H0125,Matthew Charlton,Matthew,,Matthew,Charlton,,,Male,1866-03-15,"Linton, VIC",1948-12-08
K6L,S0050,,Thomas Chataway,Thomas,Drinkwater,Thomas,Chataway,,,Male,1864-04-06,"Wartling, England",1925-03-05
HW7,,H1025,Darren Cheeseman,Darren,Leicester,Darren,Cheeseman,,,Male,1976-06-08,"Christchurch, New Zealand"
00A9C,S0483,,John Cherry,John,Clifford,John,Cherry,,,Male,1965-05-22,"Kilcoy, QLD"
IPZ,,H1060,Darren Chester,Darren,Jeffrey,Darren,Chester,the Hon.,,Male,1967-09-13,"Sale, VIC"
249710,,H1096,Lisa Chesters,Lisa,Marie,Lisa,Chesters,,,Female,1980-02-11,"Wentworthville, NSW"
A48,,H0251,Ben Chifley,Joseph,Benedict,Ben,Chifley,Rt. Hon.,,Male,1885-09-22,"Bathurst, NSW",1951-06-13
HF4,,H0644,Joan Child,Gloria,Joan Liles,Joan,Child,The Hon.,AO,Female,1921-08-03,"Melbourne, VIC",2013-02-23
IF4,S0357,,Bruce Childs,Bruce,Kenneth,Bruce,Childs,,,Male,1934-08-23,"Mascot, NSW"
3V4,S0342,H0517,Don Chipp,Donald,Leslie,Don,Chipp,The Hon.,AO,Male,1925-08-21,"Melbourne, VIC",2006-08-28
JUN,,H0498,Arthur Chresby,Arthur,Albert,Arthur,Chresby,,,Male,1908-02-06,NSW,1985-08-25
230485,,H1070,George Christensen,George,Robert,George,Christensen,,,Male,1978-06-30,"Mackay, QLD"
JF4,,H0744,Bob Chynoweth,Robert,Leslie,Bob,Chynoweth,,,Male,1941-06-07,"Richmond, VIC"
00AN0,,H0977,Steven Ciobo,Steven,Michele,Steven,Ciobo,the Hon.,,Male,1974-05-29,"Mareeba, QLD"
HWL,,H1026,Jason Clare,Jason,Dean,Jason,Clare,the Hon.,,Male,1972-03-22,"Sydney, NSW"
JUP,,H0396,Percy Clarey,Percy,James,Percy,Clarey,The Hon.,,Male,1890-01-20,"Bairnsdale, VIC",1960-05-17
JUQ,,H0309,Joe Clark,Joseph,James,Joe,Clark,,CBE,Male,1897-07-29,"Coonamble, NSW",1992-12-09
JUU,,H0007,Francis Clarke,Francis,,Francis,Clarke,the Hon. ,,Male,1857-03-25,"Stroud, NSW",1939-04-18
JUY,,H0281,John Clasby,John,Joseph,John,Clasby,,,Male,1891,"Warragul, VIC",1932-01-15
JYJ,,H0499,Lionel Clay,Lionel,Daniel,Lionel,Clay,,,Male,1900,"Chillagoe, QLD",1965-04-16
248181,,H1097,Sharon Claydon,Sharon,Catherine,Sharon,Claydon,,,Female,1964-04-26,"Camperdown, NSW"
JYK,,H0645,Gareth Clayton,Gareth,,Gareth,Clayton,,,Male,1942-02-03,"Dibden, England",2010-07-01
BO5,,H0850,Philip Cleary,Philip,Ronald,Philip,Cleary,,,Male,1952-12-08,"Melbourne, VIC"
JYO,,H0478,Richard Cleaver,Richard,,Richard,Cleaver,,"AM, CBE",Male,1917-08-16,"Perth, WA",2006-10-25
KF4,,H0772,Peter Cleeland,Peter,Robert,Peter,Cleeland,,,Male,1938-05-31,"Melbourne, VIC",2007-09-16
K6M,S0006,,John Clemons,John,Singleton,John,Clemons,the Hon. ,,Male,1862-03-24,"Launceston, TAS",1944-11-10
K6N,S0168,,Robert Clothier,Robert,Ernest,Robert,Clothier,,,Male,1877-03-26,"Bulimba, QLD",1964-05-31
LF4,S0358,H0618,John Coates,John,,John,Coates,,,Male,1944-03-23,"Melbourne, VIC"
00AN1,,H0978,John Cobb,John,Kenneth,John,Cobb,the Hon.,,Male,1950-02-11,"Bathurst, NSW"
MF4,,H0773,Michael Cobb,Michael,Roy,Michael,Cobb,,,Male,1945-03-16,"Blayney, NSW"
JZG,,H0520,John Cockle,John,Simon,John,Cockle,,,Male,1908-09-29,"Harrington, England",1966-08-03
NF4,,H0589,Barry Cohen,Barry,,Barry,Cohen,the Hon.,,Male,1935-04-03,"Griffith, NSW"
K6R,S0258,,Sam Cohen,Samuel,Herbert,Sam,Cohen,,QC,Male,1918-10-26,"Sydney, NSW",1969-10-07
00AOL,S0485,,Richard Colbeck,Richard,Mansell,Richard,Colbeck,the Hon.,,Male,1958-04-05,"Myrtleford, VIC"
K6W,S0203,,George Cole,George,Ronald,George,Cole,,,Male,1908-02-09,"Don, TAS",1969-01-23
K7F,S0133,,Hal Colebatch,Sir,Harry Pateshall,Hal,Colebatch,the Hon. Sir,CMG,Male,1872-03-29,"Wolverflow, England",1953-02-12
241067,,H1098,David Coleman,David,Bernard,David,Coleman,,,Male,1974-03-05,"Camden, NSW"
JZK,,H0214,Percy Coleman,Percy,Edmund Creed,Percy,Coleman,,,Male,1892-10-20,"Sydney, NSW",1934-05-25
5V4,S0313,,Ruth Coleman,Ruth,Nancy,Ruth,Coleman,,,Female,1931-09-27,"Collie, WA",2008-03-27
4V4,,H0734,William Coleman,William,Peter,William,Coleman,,,Male,1928-12-15,"Melbourne, VIC"
JZO,,H0341,Arthur Coles,Arthur,William,Arthur,Coles,,,Male,1892-08-07,"Geelong, VIC",1982-06-14
JZX,,H0521,Frederick Collard,Frederick,Walter,Frederick,Collard,,,Male,1912-06-06,"Beverley, WA",1986-12-01
K7H,S0326,,Stan Collard,Stanley,James,Stan,Collard,,,Male,1936-03-25,"Maleny, QLD"
K7M,S0146,,Herbert Collett,Herbert,Brayley,Herbert,Collett,The Hon.,"CMG, DSO, VD",Male,1877-11-12,"St Peter Port, Guernsey",1947-08-15
K7P,S0144,,Joseph Collings,Joseph,Silver,Joseph,Collings,The Hon.,,Male,1865-05-11,"Brighton, England",1955-06-20
OF4,S0400,,Bob Collins,Robert,Lindsay,Bob,Collins,The Hon.,,Male,1946-02-08,"Newcastle, NSW",2007-09-21
GB6,S0449,,Jacinta Collins,Jacinta,Mary Ann,Jacinta,Collins,the Hon.,,Female,1962-09-04,"Altona, VIC"
HWM,,H1027,Julie Collins,Julie,Maree,Julie,Collins,the Hon.,,Female,1971-07-03,"Hobart, TAS"
K07,,H0252,Maurice Collins,Maurice,,Maurice,Collins,,,Male,1878,"Mount Bryan, SA",1945-08-09
K0D,,H0282,Thomas Collins,Thomas,Joseph,Thomas,Collins,The Hon.,,Male,1886-04-06,"Yass, NSW",1945-04-15
PF4,S0327,,Mal Colston,Malcolm,Arthur,Mal,Colston,,,Male,1938-04-05,"Brisbane, QLD",2003-08-23
K0I,,H0522,Jack Comber,Jack,,Jack,Comber,,,Male,1919-04-15,"Broken Hill, NSW",1992-10-23
YW6,,H1028,Greg Combet,Gregory,Ivan,Greg,Combet,the Hon.,AM,Male,1958-04-28,"Sydney, NSW"
K0K,,H0333,William Conelan,William,Patrick,William,Conelan,,,Male,1895-12-23,"Wadmaninga, SA",1983-02-28
QF4,,H0646,David Connolly,David,Miles,David,Connolly,,,Male,1939-07-20,"Sydney, NSW"
K0O,,H0540,Reginald Connor,Reginald,Francis Xavier,Reginald,Connor,The Hon.,,Male,1907-01-20,"Wollongong, NSW",1977-08-22
K17,,H0774,Bryan Conquest,Bryan,Joseph,Bryan,Conquest,,,Male,1930-07-20,"Quilpie, QLD"
K4E,,H0008,Alfred Conroy,Alfred,Hugh Beresford,Alfred,Conroy,,,Male,1863-04-07,"Camden, NSW",1920-11-28
249127,,H1099,Pat Conroy,Patrick,Martin,Pat,Conroy,,,Male,1979-05-10,"Sydney, NSW"
3L6,S0454,,Stephen Conroy,Stephen,Michael,Stephen,Conroy,the Hon.,,Male,1963-01-18,"Ely, England"
K4F,,H0173,Michael Considine,Michael,Patrick,Michael,Considine,,,Male,1885-01-26,"Mayo, Ireland",1959-11-02
K4I,,H0009,James Cook,James,Newton Haxton Hume,James,Cook,the Hon. ,,Male,1866-09-23,"Kihikihi, NZ",1942-08-07
F4S,,H0010,Joseph Cook,Joseph,,Joseph,Cook,Rt. Hon. (later Sir),"PC, GCMG",Male,1860-12-07,"Silverdale, England",1947-07-30
RF4,S0370,,Peter Cook,Peter,Francis Salmon,Peter,Cook,The Hon.,,Male,1943-11-08,"Melbourne, VIC",2005-12-03
K4M,,H0192,Robert Cook,Robert,,Robert,Cook,,,Male,1868-04-18,"Chiltern, VIC",1930-05-21
JQN,S0190,,Joe Cooke,Joseph,Alfred,Joe,Cooke,,,Male,1904-03-28,"Perth, WA",1981-04-14
K4O,,H0619,Nelson Cooke,Nelson,Marshall,Nelson,Cooke,,,Male,1938-03-04,"Brisbane, QLD"
K4P,,H0011,Samuel Cooke,Samuel,Winter,Samuel,Cooke,,,Male,1847-03-13,"Melbourne, VIC",1929-06-26
K5J,,H0102,Jabez Coon,Jabez,,Jabez,Coon,,,Male,1869,"Maldon, VIC",1935-04-15
2M6,S0458,,Helen Coonan,Helen,Lloyd,Helen,Coonan,the Hon.,,Female,1947-10-29,"Wagga Wagga, NSW"
SF4,S0381,,Barney Cooney,Bernard,Cornelius,Barney,Cooney,,,Male,1934-07-11,"Currie, TAS"
JQP,S0128,,Walter Cooper,Walter,Jackson,Walter,Cooper,the Hon. (later Sir),MBE,Male,1888-04-23,"Cheetham, England",1973-07-22
K5L,,H0472,James Cope,James,Francis,James,Cope,,,Male,1907-11-26,"Sydney, NSW",1999-02-03
K5O,,H0564,James Corbett,James,,James,Corbett,,,Male,1908-07-17,"Temora, NSW",2005-03-03
K5P,,H0186,Ted Corboy,Edwin,Wilkie,Ted,Corboy,,,Male,1896-08-24,VIC,1950-08-06
009CW,,H0974,Ann Corcoran,Ann,Kathleen,Ann,Corcoran,,,Female,1951-09-21,"Dandenong, VIC"
JQQ,S0228,,Magnus Cormack,Magnus,Cameron,Magnus,Cormack,(later Sir),,Male,1906-02-12,"Wick, Scotland",1994-11-26
HDA,S0518,,Mathias Cormann,Mathias,Hubert Paul,Mathias,Cormann,the Hon.,,Male,1970-09-20,"Eupen, Belgium"
K6Q,,H0249,Bernard Corser,Bernard,Henry,Bernard,Corser,,,Male,1882-01-04,"Maryborough, QLD",1967-12-15
K6S,,H0170,Edward Corser,Edward,Bernard Cresset,Edward,Corser,,,Male,1852,"Birmingham, England",1928-07-31
K6T,,H0397,Dominic Costa,Dominic,Eric,Dominic,Costa,,,Male,1900-12-10,"Warialda, NSW",1976-09-23
CT4,,H0825,Peter Costello,Peter,Howard,Peter,Costello,The Hon.,,Male,1957-08-14,"Melbourne, VIC"
K6U,,H0669,John Cotter,John,Francis,John,Cotter,,,Male,1935-03-21,"Yarram, VIC"
JQR,S0271,,Bob Cotton,Robert,Carrington,Bob,Cotton,the Hon. (later Sir),KCMG,Male,1915-11-29,"Broken Hill, NSW",2006-12-25
TF4,S0401,,John Coulter,John,Richard,John,Coulter,,,Male,1930-12-03,"Perth, WA"
HWN,,H1029,Mark Coulton,Mark,Maclean,Mark,Coulton,,,Male,1958-02-03,"Sydney, NSW"
JQW,S0150,,Lionel Courtenay,Lionel,Thomas,Lionel,Courtenay,,,Male,1879-05-29,"Sydney, NSW",1935-07-11
JQY,S0160,,Ben Courtice,Benjamin,,Ben,Courtice,The Hon.,,Male,1885-03-28,"Bundaberg, QLD",1972-01-07
UF4,,H0799,Brian Courtice,Brian,William,Brian,Courtice,,,Male,1950-04-17,"Bundaberg, QLD"
K6V,,H0500,Frank Courtnay,Frank,,Frank,Courtnay,,,Male,1903-06-06,"Melbourne, VIC",1980-03-31
K6X,,H0469,Wilfred Coutts,Wilfred,Charles,Wilfred,Coutts,,,Male,1908-06-10,"Marburg, QLD",1997-11-04
VF4,,H0713,David Cowan,David,Bruce,David,Cowan,,,Male,1926-01-15,"Taree, NSW",2011-04-07
JRT,S0093,,Charles Cox,Charles,Frederick,Charles,Cox,,"CB, CMG, DSO, VD",Male,1863-05-02,"Sydney, NSW",1944-11-20
83U,,H0941,David Cox,David,Alexander,David,Cox,,,Male,1954-08-01,"Dunedin, New Zealand"
K7J,,H0398,John Cramer,John,Oscar,John,Cramer,the Hon. (later Sir),,Male,1897-02-18,"Gaspard, NSW",1994-05-18
UW4,S0419,,Arthur Crane,Arthur,Winston,Arthur,Crane,,,Male,1941-08-21,"Perth, WA"
WF4,,H0800,Mary Crawford,Mary,Catherine,Mary,Crawford,The Hon.,,Female,1947-04-12,"Toowoomba, QLD"
JRW,S0082,,Thomas Crawford,Thomas,William,Thomas,Crawford,The Hon.,,Male,1865-01-31,"East Collingwood, VIC",1948-06-09
JAG,,H0453,Frank Crean,Francis,Daniel,Frank,Crean,The Hon.,,Male,1916-02-28,"Hamilton, VIC",2008-12-02
DT4,,H0826,Simon Crean,Simon,Findlay,Simon,Crean,the Hon.,,Male,1949-02-26,"Melbourne, VIC"
K7O,,H0399,Jack Cremean,John,Lawrence,Jack,Cremean,,,Male,1907-01-26,"Melbourne, VIC",1982-08-11
XF4,S0359,,Noel Crichton-Browne,Noel,Ashley,Noel,Crichton-Browne,,,Male,1944-02-02,"Wiluna, WA"
JSB,S0191,,Jack Critchley,John,Owen,Jack,Critchley,,,Male,1892-04-18,"Callington, SA",1964-04-27
JTH,S0040,,John Croft,John,William,John,Croft,,,Male,1871-01-20,"Newcastle, NSW",1913
M3K,,H1071,Tony Crook,Anthony,John,Tony,Crook,,,Male,1959-06-23,"Merredin, WA"
7T4,,H0827,Janice Crosio,Janice,Ann,Janice,Crosio,the Hon.,MBE,Female,1939-01-03,"Sydney, NSW"
YF4,,H0523,Manfred Cross,Manfred,Douglas,Manfred,Cross,,,Male,1929-08-12,"Brisbane, QLD"
7Y6,S0472,,Trish Crossin,Patricia,Margaret,Trish,Crossin,,,Female,1956-03-21,"Melbourne, VIC"
K7U,,H0012,Richard Crouch,Richard,Armstrong,Richard,Crouch,Colonel the Hon.,VD,Male,1868-06-19,"Ballarat, VIC",1949-04-08
ZF4,S0371,,Rosemary Crowley,Rosemary,Anne,Rosemary,Crowley,the Hon.,,Female,1938-07-30,"Melbourne, VIC"
K7X,,H0013,George Cruickshank,George,Alexander,George,Cruickshank,,,Male,1853,"Dubbo, NSW",1904-04-12
K7Z,,H0253,Charles Culley,Charles,Ernest,Charles,Culley,The Hon.,,Male,1877-04-16,"Brighton, TAS",1949-06-10
K87,,H0080,Millice Culpin,Millice,,Millice,Culpin,,,Male,1846-12-01,"Hertfordshire, England",1941-09-01
0G4,,H0714,Barry Cunningham,Barry,Thomas,Barry,Cunningham,,,Male,1939-10-26,"Pakenham, VIC"
JTK,S0161,,James Cunningham,James,,James,Cunningham,The Hon.,,Male,1879-12-28,"Warabraer, SA",1943-07-04
K88,,H0193,Lou Cunningham,Lucien,Lawrence,Lou,Cunningham,,,Male,1889-06-04,"Inverell, NSW",1948-03-23
K8B,,H0400,Dan Curtin,Daniel,James,Dan,Curtin,,,Male,1898-02-04,"Sydney, NSW",1980-02-04
009FQ,,H0254,John Curtin,John,Joseph Ambrose,John,Curtin,Rt. Hon.,PC,Male,1885-01-08,"Creswick, VIC",1945-07-05
K8G,,H0262,John Cusack,John,Joseph,John,Cusack,,,Male,1868-08-08,"Yass, NSW",1956-09-08
6V4,,H0358,Frederick Daly,Frederick,Michael,Frederick,Daly,The Hon.,,Male,1912-06-13,"Currabubula, NSW",1995-08-02
JTL,S0129,,John Daly,John,Joseph,John,Daly,The Hon.,,Male,1891-11-10,"Thebarton, SA",1942-04-13
WF6,,H0942,Michael Danby,Michael,David,Michael,Danby,the Hon.,,Male,1955-02-16,"Melbourne, VIC"
KC9,,H0151,George Dankel,George,,George,Dankel,,,Male,1864-03-06,Germany,1926-05-31
JTR,S0169,,Richard Darcey,Richard,John,Richard,Darcey,,,Male,1870-02-26,"Launceston, TAS",1944-07-26
KP6,,H0937,Steve Dargavel,Steven,John,Steve,Dargavel,,,Male,1966-06-10,"Traralgon, VIC"
UD4,,H0715,Elaine Darling,Elaine,Elizabeth,Elaine,Darling,,,Female,1936-06-06,"Brisbane, QLD"
225099,S0554,,Sam Dastyari,Sam,,Sam,Dastyari,,,Male,1983-07-28,"Sari, Iran"
HVN,,H1030,Yvette D'Ath,Yvette,Maree,Yvette,D'Ath,,,Female,1970-07-26,"Penrith, NSW"
KCA,,H0376,Charles Davidson,Charles,William,Charles,Davidson,The Hon.,OBE,Male,1897-09-14,"Brisbane, QLD",1985-11-29
JTT,S0254,,Gordon Davidson,Gordon,Sinclair,Gordon,Davidson,,CBE,Male,1915-01-17,"Adelaide, SA",2002-11-25
KCC,,H0401,Bill Davies,William,,Bill,Davies,,,Male,1882,"Abertillery, Wales",1956-02-17
KCB,,H0501,Ronald Davies,Ronald,,Ronald,Davies,,,Male,1919-07-25,"Latrobe, TAS",1980-06-05
KCD,,H0402,Frank Davis,Francis,John,Frank,Davis,,OBE,Male,1900-04-13,"Melbourne, VIC",1980-02-28
9E4,,H0647,John Dawkins,John,Sydney,John,Dawkins,The Hon.,,Male,1947-03-02,"Perth, WA"
JTV,S0007,,Anderson Dawson,Andrew,,Anderson,Dawson,the Hon. ,,Male,1863-07-16,"Rockhampton, QLD",1910-07-20
HYG,S0562,,Bob Day,Robert,John,Bob,Day,,AO,Male,1952-07-05,"Manchester, England"
JU7,S0008,,Hugh De Largie,Hugh,,Hugh,De Largie,The Hon.,,Male,1859-03-24,"Airdrie, Scotland",1947-05-09
LV5,,H0853,Maggie Deahm,Margaret,Joan,Maggie,Deahm,,,Female,1938-10-31,"Hurstville, NSW"
009MD,,H0014,Alfred Deakin,Alfred,,Alfred,Deakin,the Hon. ,,Male,1856-08-03,"Melbourne, VIC",1919-10-07
KCE,,H0700,Arthur Dean,Arthur,Gordon,Arthur,Dean,,,Male,1942-06-13,"Mackay, QLD"
LLW,,H0403,Roger Dean,Roger,Levinge,Roger,Dean,,,Male,1913-12-10,"Sydney, NSW",1998-01-07
8IS,,H1031,Bob Debus,Robert,John,Bob,Debus,The Hon.,,Male,1943-09-16,"Sydney, NSW"
KCF,,H0335,John Dedman,John,Johnstone,John,Dedman,The Hon.,,Male,1896-06-02,"Wigtownshire, Scotland",1973-11-22
JUD,S0151,H0283,Dick Dein,Adam,Kemball,Dick,Dein,,,Male,1889-03-04,"Lucknow, NSW",1969-05-09
FY5,S0435,,Kay Denman,Kay,Janet,Kay,Denman,,,Female,1937-07-22,"Latrobe, TAS"
KCH,,H0284,Samuel Dennis,Samuel,,Samuel,Dennis,,,Male,1870-03-26,"Melbourne, VIC",1945-01-28
1G4,S0402,,John Devereux,John,Robert,John,Devereux,,,Male,1946-02-08,"Gormonston, TAS"
KCI,,H0536,Len Devine,Leonard,Thomas,Len,Devine,,,Male,1923-10-14,?,2008-05-29
JUH,S0272,,Donald Devitt,Donald,Michael,Donald,Devitt,,,Male,1921-07-11,"Launceston, TAS",2008-07-10
JUI,S0382,,Arthur Devlin,Arthur,Ray,Arthur,Devlin,,,Male,1926-03-17,"Burnie, TAS",1995-05-17
JUL,S0188,,Jack Devlin,John,Joseph,Jack,Devlin,,,Male,1898-06-06,"Violet Town, VIC",1957-05-26
