phid,sen_id,rep_id,name,given_name,additional_name,bio.prefname,family_name,honorific_prefix,honorific_suffix,gender,=birth,place_of_birth,=death
JME,,H0616,Alfred Ashley-Brown,Alfred,,Alfred,Ashley-Brown,,,Male,1915-10-05,"Strathfield, NSW",1993-02-05
JMF,,H0473,William Aston,William,John,William,Aston,the Hon. (later Sir),KCMG,Male,1916-09-19,"Sydney, NSW",1997-05-21
JMG,,H0097,Llewellyn Atkinson,Llewellyn,,Llewellyn,Atkinson,The Hon.,,Male,1867-12-18,"Launceston, TAS",1945-11-01
JMI,,H0816,Rodney Atkinson,Rodney,Alexander,Rodney,Atkinson,,,Male,1948-08-07,"Adelaide, SA"
JE4,S0378,,Terence Aulich,Terrence,Gordon,Terence,Aulich,The Hon.,,Male,1945-10-05,"Bathurst, NSW"
K0Z,S0166,,Bill Aylett,William,Edward,Bill,Aylett,,,Male,1900-11-15,"Wynyard, TAS",1976-08-10
J7Q,S0534,,Chris Back,Christopher,John,Chris,Back,Dr,,Male,1950-02-11,"Perth, WA"
JNM,S0142,H0325,Albert Badman,Albert,Oliver,Albert,Badman,,,Male,1885-12-18,"Yacka, SA",1977-04-24
JT4,,H0817,Fran Bailey,Frances,Esther,Fran,Bailey,the Hon.,,Female,1946-05-21,"Brisbane, QLD"
JNO,,H0661,Marshall Baillieu,Marshall,,Marshall,Baillieu,,,Male,1937-06-06,"Melbourne, VIC"
MP6,,H0938,Bruce Baird,Bruce,George,Bruce,Baird,The Hon.,,Male,1942-02-28,"Sydney, NSW"
JNP,,H0278,Frank Baker,Francis,Matthew John,Frank,Baker,,,Male,1903,"Bundaberg, QLD",1939-03-28
JNR,,H0337,Frank Baker,Francis,Patrick,Frank,Baker,,,Male,1873-05-30,"Leyburn, QLD",1959-06-02
DYK,,H0998,Mark Baker,Mark,Horden,Mark,Baker,,,Male,1958-12-31,"La Trobe, TAS"
L2E,S0001,,Richard Baker,Sir,Richard Chaffey,Richard,Baker,the Hon. Sir,KCMG,Male,1841-06-22,"Adelaide, SA",1911-03-18
K18,S0069,,Thomas Bakhap,Thomas,Jerome Kingston,Thomas,Bakhap,,,Male,1866-10-29,"Ballarat, VIC",1923-08-18
LL6,,H0889,Bob Baldwin,Robert,Charles,Bob,Baldwin,the Hon.,,Male,1955-03-09,"Gloucester, England"
MD4,,H0738,Peter Baldwin,Peter,Jeremy,Peter,Baldwin,the Hon.,,Male,1951-04-12,"Aldershot, England"
JNV,,H0058,Frederick Bamford,Frederick,William,Frederick,Bamford,The Hon.,,Male,1849-02-11,"Dubbo, NSW",1934-09-10
JNZ,,H0494,Henry Bandidt,Henry,Norman Charles,Henry,Bandidt,,,Male,1906-10-12,"Galton, QLD",1990-01-06
M3C,,H1067,Adam Bandt,Adam,Paul,Adam,Bandt,,,Male,1972-03-11,"Adelaide, SA"
K1I,S0060,,Stephen Barker,Stephen,,Stephen,Barker,,,Male,1845,"London, England",1924-06-21
JNX,,H0305,Herbert Barnard,Herbert,Claude,Herbert,Barnard,The Hon.,,Male,1890-10-16,"Mole Creek, TAS",1957-12-06
JO8,,H0467,Lance Barnard,Lance,Herbert,Lance,Barnard,The Hon.,,Male,1919-05-01,"Launceston, TAS",1997-08-06
JOA,,H0495,Charles Barnes,Charles,Edward,Charles,Barnes,The Hon.,,Male,1901-11-13,"Einasleigh, QLD",1998-10-24
K1L,S0070,,John Barnes,John,,John,Barnes,The Hon.,,Male,1868-07-17,"Hamilton, SA",1938-01-31
00AUF,S0486,,Guy Barnett,Guy,,Guy,Barnett,,,Male,1962-04-05,"Launceston, TAS"
ZJ6,,H0890,Phil Barresi,Phillip,Anthony,Phil,Barresi,,,Male,1955-08-08,"Patti, Italy"
K1O,S0002,,John Barrett,John,George,John,Barrett,,,Male,1858-12-17,"Carlton, VIC",1928-05-19
DT6,S0471,,Andrew Bartlett,Andrew,John Julian,Andrew,Bartlett,,,Male,1964-08-04,"Brisbane, QLD"
0K6,,H0891,Kerry Bartlett,Kerry,Joseph,Kerry,Bartlett,,,Male,1949-04-15,"Sydney, NSW"
009LR,,H0001,Edmund Barton,Edmund,,Edmund,Barton,Rt. Hon. (later Sir),"CGMG, KC",Male,1849-01-18,"Sydney, NSW",1920-01-07
K1P,S0119,,Henry Barwell,Sir,Henry Newman,Henry,Barwell,the Hon. Sir,KCMG,Male,1877-02-26,"Adelaide, SA",1959-09-30
126,,H0493,Garfield Barwick,Sir,Garfield Edward John,Garfield,Barwick,Rt. Hon. Sir,,Male,1903-06-22,"Sydney, NSW",1997-07-13
JOC,,H0059,Egerton Batchelor,Egerton,Lee,Egerton,Batchelor,the Hon. ,,Male,1865-04-10,"Adelaide, SA",1911-10-08
JOE,,H0388,Henry Bate,Henry,Jefferson Percival,Henry,Bate,,,Male,1906-03-05,"Tilba, NSW",1984-04-15
LE4,S0388,H0662,Michael Baume,Michael,Ehrenfried,Michael,Baume,,,Male,1930-07-06,"Sydney, NSW"
ME4,S0309,,Peter Baume,Peter,Erne,Peter,Baume,The Hon.,AO,Male,1935-01-30,"Sydney, NSW"
JOG,,H0171,James Bayley,James,Garfield,James,Bayley,,,Male,1882-03-26,"Franklin, TAS",1968-01-14
NE4,S0395,,Michael Beahan,Michael,Eamon,Michael,Beahan,the Hon.,,Male,1937-01-21,"London, England"
OE4,,H0771,Julian Beale,Julian,Howard,Julian,Beale,,,Male,1934-10-10,"Sydney, NSW"
JOI,,H0374,Oliver Beale,Oliver,Howard,Oliver,Beale,The Hon.,QC,Male,1898-12-10,"Tamworth, NSW",1983-10-17
JOK,,H0123,Henry Beard,Henry,Elisha,Henry,Beard,,,Male,1864,VIC,1910-12-18
JOM,,H0250,Jack Beasley,John,Albert,Jack,Beasley,Rt. Hon.,PC,Male,1895-11-09,"Werribee, VIC",1949-09-02
JOO,,H0514,Noel Beaton,Noel,Lawrence,Noel,Beaton,,,Male,1925-12-28,"Mooroopna, VIC",2004-12-18
JF7,,H0371,Kim Beazley,Kim,Edward,Kim,Beazley,The Hon.,,Male,1917-09-30,"Northam, WA",2007-10-12
PE4,,H0708,Kim Beazley,Kim,Christian,Kim,Beazley,The Hon.,,Male,1948-12-14,"Perth, WA"
JOQ,,H0338,Arthur Beck,Arthur,James,Arthur,Beck,,MC ,Male,1882-07-08,"Launceston, TAS",1965-11-28
QE4,,H0739,David Beddall,David,Peter,David,Beddall,The Hon.,,Male,1948-11-27,"Manchester, England"
K1Q,S0187,,Fred Beerworth,Frederick,Hubert,Fred,Beerworth,,,Male,1886-05-17,"Quorn, SA",1968-05-17
JOS,,H0189,George Bell,George,John,George,Bell,the Hon. (later Sir),"KCMG, DSO, VD",Male,1872-11-29,"Sale, VIC",1944-03-05
7U4,S0416,,Robert Bell,Robert,John,Robert,Bell,,,Male,1950-07-22,"Hobart, TAS",2001-09-05
K1T,S0202,,Archie Benn,Archibald,Malcolm,Archie,Benn,,,Male,1897-01-20,"Branxholme, VIC",1980-04-03
JOU,,H0584,Adrian Bennett,Adrian,Frank,Adrian,Bennett,,,Male,1933-01-21,"Victoria Park, WA",2006-05-09
JOW,,H0143,Benjamin Bennett,Benjamin,Holland,Benjamin,Bennett,,,Male,1872,"Young, NSW",1939-07-12
JOY,,H0147,James Bennett,James,,James,Bennett,,,Male,1874,?,1951-11-23
K1W,S0092,,Benjamin Benny,Benjamin,,Benjamin,Benny,,,Male,1869-10-21,"Aldinga, SA",1935-02-10
JP5,,H0534,Sam Benson,Samuel,James,Sam,Benson,,CBE,Male,1909-07-12,"Adelaide, SA",1995-07-26
JP8,,H0585,Joseph Berinson,Joseph,Max,Joseph,Berinson,The Hon.,,Male,1932-01-07,"Perth, WA"
G0D,S0514,,Cory Bernardi,Cory,,Cory,Bernardi,,,Male,1969-11-06,"Adelaide, SA"
JPA,,H0389,Doug Berry,Douglas,Reginald,Doug,Berry,,,Male,1907-05-03,"Esk, QLD",1957-04-17
K1X,S0310,,Eric Bessell,Eric,James,Eric,Bessell,,,Male,1923-06-06,"Launceston, TAS",1979-03-10
JPC,S0003,H0139,Robert Best,Robert,Wallace,Robert,Best,the Hon. (later Sir),KCMG ,Male,1856-06-18,"Collingwood, VIC",1946-03-27
ET4,,H0818,Arch Bevis,Archibald,Ronald,Arch,Bevis,the Hon.,,Male,1955-04-10,"Brisbane, QLD"
HVM,,H1020,James Bidgood,James,Mark,James,Bidgood,,,Male,1959-05-26,"London, England"
1K6,,H0892,Bruce Billson,Bruce,Fredrick,Bruce,Billson,the Hon.,,Male,1966-01-26,"Albury, NSW"
RE4,,H0740,Gordon Bilney,Gordon,Neil,Gordon,Bilney,The Hon.,,Male,1939-06-21,"Renmark, SA",2012-10-28
HZB,S0521,,Catryna Bilyk,Catryna,Louise,Catryna,Bilyk,,,Female,1959-02-07,"Hobart, TAS"
JPE,,H0390,Alan Bird,Alan,Charles,Alan,Bird,,,Male,1906-09-28,"Launceston, TAS",1962-07-21
