+people, type, description, date
4G4|JVG|KCK, family,<a href="/s/p/JVG">Sir John William Downer</a> is the Grandfather of <a href="/s/p/4G4">Alexander John Gosse Downer</a>; <a href="/s/p/KCK">Alexander Russell Downer</a> is the Father of <a href="/s/p/4G4">Alexander John Gosse Downer</a>,
KCK|JVG|4G4, family,<a href="/s/p/JVG">Sir John William Downer</a> is the Father of <a href="/s/p/KCK">Alexander Russell Downer</a>; <a href="/s/p/4G4">Alexander John Gosse Downer</a> is the Son of <a href="/s/p/KCK">Alexander Russell Downer</a>,
JVG|KCK|4G4, family,<a href="/s/p/KCK">Alexander Russell Downer</a> is the Son of <a href="/s/p/JVG">Sir John William Downer</a>; <a href="/s/p/4G4">Alexander John Gosse Downer</a> is the Grandson of <a href="/s/p/JVG">Sir John William Downer</a>,
JYQ|KDR|, family,<a href="/s/p/KDR">Thomas Thomson Ewing</a> is the Brother of <a href="/s/p/JYQ">Norman Kirkwood Ewing</a>,
KDR|JYQ|, family,<a href="/s/p/JYQ">Norman Kirkwood Ewing</a> is the Brother of <a href="/s/p/KDR">Thomas Thomson Ewing</a>,
JYR|KEM|KDT, family,<a href="/s/p/KEM">James Valentine Fairbairn</a> is the Nephew of <a href="/s/p/JYR">George Fairbairn</a>; <a href="/s/p/KDT">David Eric Fairbairn</a> is the Grandson of <a href="/s/p/JYR">George Fairbairn</a>,
KEM|JYR|, family,<a href="/s/p/JYR">George Fairbairn</a> is the Uncle of <a href="/s/p/KEM">James Valentine Fairbairn</a>,
8T4|LS4|, family,<a href="/s/p/LS4">Martin John Ferguson</a> is the Brother of <a href="/s/p/8T4">Laurie Donald Thomas Ferguson</a>,
LS4|8T4|, family,<a href="/s/p/8T4">Laurie Donald Thomas Ferguson</a> is the Brother of <a href="/s/p/LS4">Martin John Ferguson</a>,
HBE|IG4|, family,<a href="/s/p/IG4">Josephine Vallentine</a> is the Aunt of <a href="/s/p/HBE">Mary Josephine Fisher</a>,
KEZ|XT4|, family,<a href="/s/p/XT4">Michael John Clyde Ronaldson</a> is the Grandson of <a href="/s/p/KEZ">Archibald Clyde Wanliss Fisken</a>,
FG4|8K6|, family,<a href="/s/p/8K6">Joel Andrew Fitzgibbon</a> is the Son of <a href="/s/p/FG4">Eric John Fitzgibbon</a>,
8K6|FG4|, family,<a href="/s/p/FG4">Eric John Fitzgibbon</a> is the Father of <a href="/s/p/8K6">Joel Andrew Fitzgibbon</a>,
JWU|JWX|, family,<a href="/s/p/JWX">James Reay Fraser</a> is the Brother of <a href="/s/p/JWU">Allan Duncan Fraser</a>,
JWX|JWU|, family,<a href="/s/p/JWU">Allan Duncan Fraser</a> is the Brother of <a href="/s/p/JWX">James Reay Fraser</a>,
QS4|KKL|, family,<a href="/s/p/KKL">Simon Fraser</a> is the Grandfather of <a href="/s/p/QS4">John Malcolm Fraser</a>,
KKL|QS4|, family,<a href="/s/p/QS4">John Malcolm Fraser</a> is the Grandson of <a href="/s/p/KKL">Simon Fraser</a>,
8W5|TJ4|, family,<a href="/s/p/TJ4">Peter Alexander Walsh</a> is the Father-in-law of <a href="/s/p/8W5">Gary Gray</a>,
KFK|KFL|, family,<a href="/s/p/KFL">William Henry Groom</a> is the Father of <a href="/s/p/KFK">Littleton Ernest Groom</a>,
KFL|KFK|, family,<a href="/s/p/KFK">Littleton Ernest Groom</a> is the Son of <a href="/s/p/KFL">William Henry Groom</a>,
KFQ|KFS|, family,<a href="/s/p/KFS">Henry Somer Gullett</a> is the Father of <a href="/s/p/KFQ">Henry Baynton Somer Gullett</a>,
KFS|KFQ|, family,<a href="/s/p/KFQ">Henry Baynton Somer Gullett</a> is the Son of <a href="/s/p/KFS">Henry Somer Gullett</a>,
KNN|KFW|, family,<a href="/s/p/KFW">James Allan Guy</a> is the Son of <a href="/s/p/KNN">James Guy</a>,
KFW|KNN|, family,<a href="/s/p/KNN">James Guy</a> is the Father of <a href="/s/p/KFW">James Allan Guy</a>,
KNX|UJ4|, family,<a href="/s/p/UJ4">Mary Shirley Walters</a> is the Daughter of <a href="/s/p/KNX">Eric John Harrison</a>,
83Y|5A5|, family,<a href="/s/p/5A5">Robert James Brown</a> is the Father of <a href="/s/p/83Y">Kelly Joy Hoare</a>,
KHY|KI7|, family,<a href="/s/p/KI7">Sir Neville Reginald Howse</a> is the Father of <a href="/s/p/KHY">John Brooke Howse</a>,
KI7|KHY|, family,<a href="/s/p/KHY">John Brooke Howse</a> is the Son of <a href="/s/p/KI7">Sir Neville Reginald Howse</a>,
KJO|KJQ|, family,<a href="/s/p/KJQ">Rowland James</a> is the Father of <a href="/s/p/KJO">Albert William James</a>,
KJQ|KJO|, family,<a href="/s/p/KJO">Albert William James</a> is the Son of <a href="/s/p/KJQ">Rowland James</a>,
DRW|HH4|, family,<a href="/s/p/HH4">Henry Alfred Jenkins</a> is the Son of <a href="/s/p/DRW">Henry Alfred Jenkins</a>,
HH4|DRW|, family,<a href="/s/p/DRW">Henry Alfred Jenkins</a> is the Father of <a href="/s/p/HH4">Henry Alfred Jenkins</a>,
HX4|1V5|, family,<a href="/s/p/1V5">Robert Cummin Katter</a> is the Father of <a href="/s/p/HX4">Robert Carl Katter</a>,
1V5|HX4|, family,<a href="/s/p/HX4">Robert Carl Katter</a> is the Son of <a href="/s/p/1V5">Robert Cummin Katter</a>,
WW4|BT4|, family,<a href="/s/p/BT4">David Alistair Kemp</a> is the Brother of <a href="/s/p/WW4">Charles Roderick Kemp</a>,
BT4|WW4|, family,<a href="/s/p/WW4">Charles Roderick Kemp</a> is the Brother of <a href="/s/p/BT4">David Alistair Kemp</a>,
KR9|N76|, family,<a href="/s/p/N76">Robert Gordon Menzies</a> is the Son-in-law of <a href="/s/p/KR9">John William Leckie</a>,
J7U|F4O|, family,<a href="/s/p/F4O">Joe Lyons</a> and <a href="/s/p/J7U">Enid Lyons (née Burnell)</a> married on April 28th 1915,1915-04-28
KTA|JK6|, family,<a href="/s/p/JK6">Robert Bruce McClelland</a> is the Son of <a href="/s/p/KTA">Douglas McClelland</a>,
JK6|KTA|, family,<a href="/s/p/KTA">Douglas McClelland</a> is the Father of <a href="/s/p/JK6">Robert Bruce McClelland</a>,
WH4|XH4|, family,<a href="/s/p/XH4">Peter John McGauran</a> is the Brother of <a href="/s/p/WH4">Julian John James McGauran</a>,
XH4|WH4|, family,<a href="/s/p/WH4">Julian John James McGauran</a> is the Brother of <a href="/s/p/XH4">Peter John McGauran</a>,
KUA|KSC|, family,<a href="/s/p/KSC">John McLeay</a> is the Brother of <a href="/s/p/KUA">George McLeay</a>,
KSC|KUA|, family,<a href="/s/p/KUA">George McLeay</a> is the Brother <a href="/s/p/KSC">John McLeay</a>,
N76|L0P|KR9, family,<a href="/s/p/L0P">Sydney Sampson</a> is the Uncle of <a href="/s/p/N76">Robert Gordon Menzies</a>; <a href="/s/p/KR9">John William Leckie</a> is the Father-in-law of <a href="/s/p/N76">Robert Gordon Menzies</a>,
FI4|HI4|, family,<a href="/s/p/HI4">Peter Frederick Morris</a> is the Brother of <a href="/s/p/FI4">Allan Agapitos Morris</a>,
HI4|FI4|, family,<a href="/s/p/FI4">Allan Agapitos Morris</a> is the Brother of <a href="/s/p/HI4">Peter Frederick Morris</a>,
JVT|JVU|, family,<a href="/s/p/JVU">John Norman Nelson</a> is the Son of <a href="/s/p/JVT">Harold George Nelson</a>,
JVU|JVT|, family,<a href="/s/p/JVT">Harold George Nelson</a> is the Father of <a href="/s/p/JVU">John Norman Nelson</a>,
BE4|JVV|, family,<a href="/s/p/JVV">Kevin Eugene Newman</a> is the Husband of <a href="/s/p/BE4">Jocelyn Margaret Newman</a>,
JVV|BE4|, family,<a href="/s/p/BE4">Jocelyn Margaret Newman</a> is the Wife of <a href="/s/p/JVV">Kevin Eugene Newman</a>,
JYA|84S|, family,<a href="/s/p/84S">Michelle Anne O'Byrne</a> is the Cousin-niece of <a href="/s/p/JYA">Justin Hilary O'Byrne</a>,
84S|JYA|, family,<a href="/s/p/JYA">Justin Hilary O'Byrne</a> is the Cousin-uncle of <a href="/s/p/84S">Michelle Anne O'Byrne</a>,
K0F|217266|, family,<a href="/s/p/217266">Jane Prentice</a> is the Great granddaughter of <a href="/s/p/K0F">George Foster Pearce</a>,
KYE|K1J|, family,<a href="/s/p/K1J">Herbert Edward Pratten</a> is the Uncle of <a href="/s/p/KYE">Frederick Graham Pratten</a>,
K1J|KYE|, family,<a href="/s/p/KYE">Frederick Graham Pratten</a> is the Nephew of <a href="/s/p/K1J">Herbert Edward Pratten</a>,
217266|K0F|, family,<a href="/s/p/K0F">George Foster Pearce</a> is the Great grandfather of <a href="/s/p/217266">Jane Prentice</a>,
KYV|KYX|, family,<a href="/s/p/KYX">Edward Charles Riley</a> is the Son of <a href="/s/p/KYV">Edward Riley</a>,
KYX|KYV|, family,<a href="/s/p/KYV">Edward Riley</a> is the Father of <a href="/s/p/KYX">Edward Charles Riley</a>,
KYZ|KZ7|, family,<a href="/s/p/KZ7">Joseph Martin Riordan</a> is the Nephew of <a href="/s/p/KYZ">David Riordan</a>,
KZ7|KYZ|, family,<a href="/s/p/KYZ">David Riordan</a> is the Uncle of <a href="/s/p/KZ7">Joseph Martin Riordan</a>,
XT4|KEZ|, family,<a href="/s/p/KEZ">Archibald Clyde Wanliss Fisken</a> is the Grandfather of <a href="/s/p/XT4">Michael John Clyde Ronaldson</a>,
L0P|N76|, family,<a href="/s/p/N76">Robert Gordon Menzies</a> is the Nephew of <a href="/s/p/L0P">Sydney Sampson</a>,
ZW4|L8C|, family,<a href="/s/p/L8C">Raymond Henry Sherry</a> is the Father of <a href="/s/p/ZW4">Nicholas John Sherry</a>,
L8C|ZW4|, family,<a href="/s/p/ZW4">Nicholas John Sherry</a> is the Son of <a href="/s/p/L8C">Raymond Henry Sherry</a>,
