parlhand.person.phid,branch|parlhand.militarybranch.code,=start,=end,role,notes
KEM,AIF,1914-08-17,1917-12-20,Lieutenant,"Landed on Gallipoli with the 6th Battalion on 25 April 1915, wounded at Gallipoli before serving on the Western Front in France. Was wounded on three occasions before being commissioned as a lieutenant."
IIS,RAAF,1939,1945,,"Served during WWII as a pilot, flying during the Invasion of Normandy."
