NameID,DocDate,MPtype,Name
00ATG,5/06/2015,Member,"SHORTEN, the Hon. William (Bill) Richard"
EJ4,24/04/1997,Former,"SIBRAA, the Hon. Kerry Walter"
EVL,10/06/2005,Former,"SIDDONS, John Royston"
849,20/09/2013,Former,"SIDEBOTTOM, the Hon. Peter Sid"
E5Z,5/06/2015,Senator,"SIEWERT, Rachel Mary"
FJ4,24/04/1997,Former,"SIMMONS, the Hon. David William"
HWE,24/06/2015,Member,"SIMPKINS, Luke Xavier Linton"
5E4,14/02/2006,Former,"SINCLAIR, the Rt Hon. Ian McCahon"
M0R,31/07/2014,Senator,"SINGH, the Hon. Lisa Maria"
BV7,4/03/2015,Senator,"SINODINOS, the Hon. Arthur"
0V5,4/05/2015,Former,"SLIPPER, the Hon. Peter Neil"
SK6,13/11/1998,Former,"SMITH, Anthony (Tony) Charles"
241710,12/03/2015,Senator,"SMITH, Dean Anthony"
JV5,24/04/1997,Former,"SMITH, Silvia Joy"
00APG,25/02/2015,Member,"SMITH, the Hon. Anthony David Hawthorn"
5V5,18/09/2013,Former,"SMITH, the Hon. Stephen Francis"
GJ4,13/11/1998,Former,"SMITH, the Hon. Warwick Leslie"
172770,23/09/2013,Former,"SMYTH, Laura Mary"
HJ4,24/04/1997,Former,"SNOW, James Henry"
IJ4,5/06/2015,Member,"SNOWDON, the Hon. Warren Edward"
ZT4,6/09/2013,Former,"SOMLYAY, the Hon. Alexander Michael"
TK6,5/06/2015,Member,"SOUTHCOTT, Dr Andrew John"
VC5,24/04/1997,Former,"SOWADA, Karin Nicole"
JJ4,24/04/1997,Former,"SPENDER, John Michael, QC"
0X4,24/04/1997,Former,"SPINDLER, Sid"
84B,17/08/2007,Former,"ST CLAIR, Stuart Roy"
KJ4,24/04/1997,Former,"STAPLES, the Hon. Peter Richard"
00AOS,30/06/2014,Former,"STEPHENS, the Hon. Ursula Mary"
E68,5/06/2015,Senator,"STERLE, Glenn"
LJ4,24/04/1997,Former,"STONE, John Owen"
EM6,5/06/2015,Member,"STONE, the Hon. Dr Sharman Nancy"
3I6,27/08/2008,Former,"STOTT DESPOJA, Natasha Jessica"
241586,12/02/2015,Member,"SUDMALIS, Ann Elizabeth"
242515,12/02/2015,Member,"SUKKAR, Michael"
HVS,13/09/2010,Former,"SULLIVAN, Jonathan (Jon) Harold"
3E4,10/01/2007,Former,"SULLIVAN, the Hon. Kathryn (Kathy) Jean Martin"
2V5,5/06/2015,Member,"SWAN, the Hon. Wayne Maxwell"
HW8,25/09/2013,Former,"SYMON, Michael (Mike) Stuart"
FQ6,7/06/2000,Former,"SYNON, Karen Margaret"
6E4,18/01/2006,Former,"TAMBLING, the Hon. Grant Ernest John"
YU5,6/09/2010,Former,"TANNER, the Hon. Lindsay James"
NJ4,24/04/1997,Former,"TATE, the Hon. Michael Carter, AO"
231027,25/09/2014,Member,"TAYLOR, Angus James"
OJ4,13/11/1998,Former,"TAYLOR, William (Bill) Leonard"
86Y,11/08/2005,Former,"TCHEN, Tsebin"
PJ4,24/04/1997,Former,"TEAGUE, Baden Chapman"
210911,25/02/2015,Member,"TEHAN, Daniel (Dan) Thomas"
QJ4,13/06/2002,Former,"THEOPHANOUS, the Hon. Dr Andrew Charles"
182468,11/04/2014,Member,"THISTLETHWAITE, the Hon. Matthew (Matt) James"
84C,14/12/2007,Former,"THOMPSON, Cameron Paul"
HVZ,27/09/2013,Former,"THOMSON, Craig Robert"
FB6,7/06/2002,Former,"THOMSON, the Hon. Andrew Peter"
UK6,5/06/2015,Member,"THOMSON, the Hon. Kelvin John"
183342,30/06/2014,Former,"THORP, the Hon. Lin Estelle"
00ANF,14/12/2007,Former,"TICEHURST, Kenneth Vincent"
RJ4,24/04/1997,Former,"TICKNER, the Hon. Robert Edward"
O15,22/01/2008,Former,"TIERNEY, Dr John William"
249499,30/06/2014,Former,"TILLEM, Mehmet"
00AN4,11/12/2007,Former,"TOLLNER, David William"
HVU,16/09/2010,Former,"TREVOR, Chris Allan"
GX5,30/06/2011,Former,"TROETH, the Hon. Judith Mary"
E6A,30/06/2011,Former,"TROOD, Russell Brunell"
GT4,5/06/2015,Member,"TRUSS, the Hon. Warren Errol"
SJ4,13/09/2010,Former,"TUCKEY, the Hon. Charles Wilson"
M2Y,12/12/2013,Member,"TUDGE, the Hon. Alan"
885,5/06/2015,Member,"TURNBULL, the Hon. Malcolm Bligh"
HVV,8/09/2010,Former,"TURNOUR, James (Jim) Pearce"
EE4,23/02/2015,Former,"UREN, the Hon. Thomas, AC"
231199,4/03/2015,Senator,"URQUHART, Anne Elizabeth"
SU5,11/09/2008,Former,"VAILE, the Hon. Mark Anthony James"
VK6,19/07/2010,Former,"VALE, the Hon. Danna Sue"
IG4,27/08/2008,Former,"VALLENTINE, Josephine"
00AMT,5/06/2015,Member,"VAMVAKINOU, Maria"
188315,12/03/2015,Member,"VAN MANEN, Albertus (Bert) Johannes"
7E4,12/10/2007,Former,"VANSTONE, the Hon. Amanda Eloise"
250077,18/07/2014,Member,"VARVARIS, Nickolas"
E0D,23/06/2014,Member,"VASTA, Ross Xavier"
KA8,24/04/1997,Former,"VIGOR, David Bernard"
HV5,26/11/2007,Former,"WAKELIN, Barry Hugh"
9T4,10/02/2006,Former,"WALKER, the Hon. Francis (Frank) John, QC"
TJ4,24/04/1997,Former,"WALSH, the Hon. Peter Alexander, AO"
UJ4,24/04/1997,Former,"WALTERS, Mary Shirley"
250045,8/12/2014,Senator,"WANG, Zhenya (Dio)"
84F,6/09/2013,Former,"WASHER, Dr Malcolm (Mal) James"
192970,25/05/2015,Senator,"WATERS, Larissa Joy"
VJ4,22/08/2008,Former,"WATSON, John Odin Wentworth"
193430,16/02/2015,Member,"WATTS, Timothy Graham"
00AOT,27/08/2008,Former,"WEBBER, Ruth Stephanie"
WJ4,24/04/1997,Former,"WEBSTER, Alasdair Paine"
XK6,13/11/1998,Former,"WEST, Andrea Gail"
1X4,10/06/2004,Former,"WEST, Suzanne (Sue) Margaret"
XJ4,24/04/1997,Former,"WEST, the Hon. Stewart John"
RC6,24/04/1997,Former,"WHEELWRIGHT, Thomas (Tom) Clive"
195565,23/06/2015,Senator,"WHISH-WILSON, Peter Stuart"
YJ4,24/04/1997,Former,"WHITE, Peter Nicholson Duckett, MC"
207800,27/02/2014,Member,"WHITELEY, Brett David"
241590,16/02/2015,Member,"WICKS, Lucy Elizabeth"
C2T,8/10/2014,Member,"WILKIE, Andrew Damien"
84G,11/12/2007,Former,"WILKIE, Kim William"
I0V,4/03/2015,Senator,"WILLIAMS, John Reginald"
249758,24/06/2014,Member,"WILLIAMS, Matthew"
7V5,11/01/2007,Former,"WILLIAMS, the Hon. Daryl Robert, AM, QC"
ZJ4,13/11/1998,Former,"WILLIS, the Hon. Ralph"
198084,26/11/2014,Member,"WILSON, Richard (Rick) James"
0K4,24/04/1997,Former,"WILSON, the Hon. Ian Bonython Cameron"
YK6,10/06/2005,Former,"WILTON, Gregory Stuart"
009LP,6/09/2013,Former,"WINDSOR, Antony (Tony) Harold Curties"
DV4,26/02/2015,Former,"WITHERS, the Rt Hon. Reginald Greive"
00AOU,29/06/2015,Senator,"WONG, the Hon. Penelope (Penny) Ying Yen"
E0F,5/06/2015,Member,"WOOD, Jason Peter"
KBS,24/04/1997,Former,"WOOD, William Robert"
HX5,14/02/2006,Former,"WOODLEY, John"
0U4,7/11/2014,Former,"WOODS, Harry Francis"
1K4,24/04/1997,Former,"WOODS, the Hon. Robert (Bob) Leslie"
8E4,4/10/2005,Former,"WOOLDRIDGE, the Hon. Dr Michael Richard Lewis"
8V5,27/10/2004,Former,"WORTH, the Hon. Patricia (Trish) Mary"
E6C,30/06/2011,Former,"WORTLEY, Dana Johanna"
2K4,29/01/2015,Former,"WRIGHT, Keith Webb"
200287,29/06/2015,Senator,"WRIGHT, Penelope (Penny) Lesley"
M3A,4/03/2015,Member,"WYATT, Kenneth (Ken) George, AM"
8IV,1/07/2014,Senator,"XENOPHON, Nicholas (Nick)"
EV4,24/04/1997,Former,"YOUNG, the Hon. Michael Jerome, AO"
84H,14/02/2006,Former,"ZAHRA, Christian John"
FE4,24/04/1997,Former,"ZAKHAROV, Alice Olive"
ZK6,10/06/2005,Former,"ZAMMIT, Paul John"
HWB,5/06/2015,Member,"ZAPPIA, Antonio (Tony)"
